date,how to hide photos on facebook from everyone
2011-01-01,57
2011-02-01,55
2011-03-01,55
2011-04-01,55
2011-05-01,55
2011-06-01,55
2011-07-01,55
2011-08-01,51
2011-09-01,51
2011-10-01,74
2011-11-01,98
2011-12-01,48
2012-01-01,66
2012-02-01,43
2012-03-01,43
2012-04-01,45
2012-05-01,70
2012-06-01,44
2012-07-01,64
2012-08-01,71
2012-09-01,56
2012-10-01,64
2012-11-01,78
2012-12-01,77
2013-01-01,70
2013-02-01,58
2013-03-01,69
2013-04-01,52
2013-05-01,51
2013-06-01,47
2013-07-01,34
2013-08-01,51
2013-09-01,67
2013-10-01,42
2013-11-01,30
2013-12-01,30
2014-01-01,30
2014-02-01,33
2014-03-01,30
2014-04-01,31
2014-05-01,72
2014-06-01,35
2014-07-01,34
2014-08-01,45
2014-09-01,43
2014-10-01,93
2014-11-01,42
2014-12-01,52
2015-01-01,77
2015-02-01,31
2015-03-01,28
2015-04-01,43
2015-05-01,57
2015-06-01,29
2015-07-01,100
2015-08-01,28
2015-09-01,28
2015-10-01,53
2015-11-01,40
2015-12-01,54
2016-01-01,65
2016-02-01,38
2016-03-01,48
2016-04-01,62
2016-05-01,24
2016-06-01,87
2016-07-01,67
2016-08-01,65
2016-09-01,82
2016-10-01,69
2016-11-01,70
2016-12-01,55
2017-01-01,95
