date,internet privacy definition
2011-01-01,22
2011-02-01,35
2011-03-01,42
2011-04-01,56
2011-05-01,39
2011-06-01,11
2011-07-01,18
2011-08-01,27
2011-09-01,26
2011-10-01,19
2011-11-01,38
2011-12-01,28
2012-01-01,23
2012-02-01,21
2012-03-01,36
2012-04-01,46
2012-05-01,27
2012-06-01,25
2012-07-01,14
2012-08-01,30
2012-09-01,40
2012-10-01,17
2012-11-01,45
2012-12-01,26
2013-01-01,27
2013-02-01,45
2013-03-01,44
2013-04-01,47
2013-05-01,29
2013-06-01,11
2013-07-01,18
2013-08-01,31
2013-09-01,39
2013-10-01,35
2013-11-01,44
2013-12-01,29
2014-01-01,33
2014-02-01,51
2014-03-01,29
2014-04-01,48
2014-05-01,28
2014-06-01,22
2014-07-01,17
2014-08-01,28
2014-09-01,52
2014-10-01,55
2014-11-01,76
2014-12-01,28
2015-01-01,41
2015-02-01,36
2015-03-01,44
2015-04-01,64
2015-05-01,58
2015-06-01,17
2015-07-01,30
2015-08-01,27
2015-09-01,48
2015-10-01,42
2015-11-01,59
2015-12-01,44
2016-01-01,53
2016-02-01,43
2016-03-01,46
2016-04-01,45
2016-05-01,44
2016-06-01,29
2016-07-01,23
2016-08-01,25
2016-09-01,31
2016-10-01,100
2016-11-01,79
2016-12-01,45
2017-01-01,41
