date,whatsapp setting download
2011-01-01,0
2011-02-01,11
2011-03-01,7
2011-04-01,8
2011-05-01,10
2011-06-01,10
2011-07-01,7
2011-08-01,10
2011-09-01,9
2011-10-01,10
2011-11-01,6
2011-12-01,10
2012-01-01,8
2012-02-01,11
2012-03-01,23
2012-04-01,11
2012-05-01,24
2012-06-01,14
2012-07-01,28
2012-08-01,26
2012-09-01,17
2012-10-01,23
2012-11-01,31
2012-12-01,40
2013-01-01,57
2013-02-01,66
2013-03-01,54
2013-04-01,39
2013-05-01,57
2013-06-01,40
2013-07-01,57
2013-08-01,55
2013-09-01,46
2013-10-01,60
2013-11-01,55
2013-12-01,67
2014-01-01,65
2014-02-01,52
2014-03-01,62
2014-04-01,55
2014-05-01,57
2014-06-01,64
2014-07-01,58
2014-08-01,46
2014-09-01,47
2014-10-01,54
2014-11-01,67
2014-12-01,76
2015-01-01,79
2015-02-01,58
2015-03-01,81
2015-04-01,77
2015-05-01,65
2015-06-01,73
2015-07-01,100
2015-08-01,76
2015-09-01,89
2015-10-01,84
2015-11-01,64
2015-12-01,75
2016-01-01,79
2016-02-01,86
2016-03-01,80
2016-04-01,72
2016-05-01,57
2016-06-01,72
2016-07-01,66
2016-08-01,77
2016-09-01,55
2016-10-01,78
2016-11-01,85
2016-12-01,83
2017-01-01,60
