date,how to hack whatsapp account using pc
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,12
2012-08-01,17
2012-09-01,11
2012-10-01,16
2012-11-01,11
2012-12-01,14
2013-01-01,9
2013-02-01,14
2013-03-01,22
2013-04-01,22
2013-05-01,14
2013-06-01,38
2013-07-01,31
2013-08-01,31
2013-09-01,28
2013-10-01,20
2013-11-01,32
2013-12-01,18
2014-01-01,53
2014-02-01,30
2014-03-01,54
2014-04-01,20
2014-05-01,13
2014-06-01,25
2014-07-01,18
2014-08-01,46
2014-09-01,44
2014-10-01,56
2014-11-01,77
2014-12-01,39
2015-01-01,49
2015-02-01,42
2015-03-01,95
2015-04-01,100
2015-05-01,100
2015-06-01,74
2015-07-01,67
2015-08-01,74
2015-09-01,75
2015-10-01,57
2015-11-01,56
2015-12-01,59
2016-01-01,51
2016-02-01,63
2016-03-01,65
2016-04-01,50
2016-05-01,28
2016-06-01,34
2016-07-01,52
2016-08-01,40
2016-09-01,42
2016-10-01,63
2016-11-01,49
2016-12-01,48
2017-01-01,40
