date,how to hack someones whatsapp messenger
2011-01-01,0
2011-02-01,27
2011-03-01,25
2011-04-01,25
2011-05-01,25
2011-06-01,25
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,20
2012-02-01,41
2012-03-01,20
2012-04-01,20
2012-05-01,19
2012-06-01,48
2012-07-01,26
2012-08-01,38
2012-09-01,23
2012-10-01,23
2012-11-01,23
2012-12-01,34
2013-01-01,16
2013-02-01,26
2013-03-01,26
2013-04-01,42
2013-05-01,20
2013-06-01,26
2013-07-01,31
2013-08-01,36
2013-09-01,30
2013-10-01,19
2013-11-01,44
2013-12-01,34
2014-01-01,32
2014-02-01,34
2014-03-01,53
2014-04-01,32
2014-05-01,28
2014-06-01,15
2014-07-01,60
2014-08-01,60
2014-09-01,48
2014-10-01,55
2014-11-01,56
2014-12-01,46
2015-01-01,56
2015-02-01,47
2015-03-01,55
2015-04-01,100
2015-05-01,63
2015-06-01,56
2015-07-01,68
2015-08-01,59
2015-09-01,66
2015-10-01,94
2015-11-01,92
2015-12-01,78
2016-01-01,96
2016-02-01,73
2016-03-01,68
2016-04-01,52
2016-05-01,79
2016-06-01,78
2016-07-01,45
2016-08-01,73
2016-09-01,80
2016-10-01,62
2016-11-01,21
2016-12-01,49
2017-01-01,79
