date,log into whatsapp online
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,26
2011-10-01,24
2011-11-01,24
2011-12-01,24
2012-01-01,24
2012-02-01,22
2012-03-01,22
2012-04-01,22
2012-05-01,22
2012-06-01,29
2012-07-01,35
2012-08-01,34
2012-09-01,21
2012-10-01,21
2012-11-01,21
2012-12-01,30
2013-01-01,39
2013-02-01,19
2013-03-01,19
2013-04-01,37
2013-05-01,18
2013-06-01,19
2013-07-01,36
2013-08-01,28
2013-09-01,81
2013-10-01,51
2013-11-01,35
2013-12-01,68
2014-01-01,56
2014-02-01,45
2014-03-01,23
2014-04-01,24
2014-05-01,41
2014-06-01,46
2014-07-01,37
2014-08-01,18
2014-09-01,18
2014-10-01,48
2014-11-01,50
2014-12-01,34
2015-01-01,90
2015-02-01,42
2015-03-01,46
2015-04-01,32
2015-05-01,22
2015-06-01,47
2015-07-01,60
2015-08-01,44
2015-09-01,97
2015-10-01,35
2015-11-01,57
2015-12-01,100
2016-01-01,62
2016-02-01,40
2016-03-01,70
2016-04-01,47
2016-05-01,37
2016-06-01,33
2016-07-01,68
2016-08-01,66
2016-09-01,33
2016-10-01,76
2016-11-01,87
2016-12-01,37
2017-01-01,42
