date,how to detect spyware on android phone
2011-01-01,0
2011-02-01,61
2011-03-01,55
2011-04-01,59
2011-05-01,55
2011-06-01,57
2011-07-01,52
2011-08-01,52
2011-09-01,52
2011-10-01,50
2011-11-01,50
2011-12-01,48
2012-01-01,46
2012-02-01,46
2012-03-01,46
2012-04-01,46
2012-05-01,55
2012-06-01,64
2012-07-01,73
2012-08-01,86
2012-09-01,57
2012-10-01,59
2012-11-01,39
2012-12-01,78
2013-01-01,54
2013-02-01,39
2013-03-01,52
2013-04-01,83
2013-05-01,81
2013-06-01,84
2013-07-01,87
2013-08-01,87
2013-09-01,85
2013-10-01,43
2013-11-01,77
2013-12-01,88
2014-01-01,46
2014-02-01,56
2014-03-01,80
2014-04-01,72
2014-05-01,31
2014-06-01,35
2014-07-01,34
2014-08-01,68
2014-09-01,87
2014-10-01,83
2014-11-01,48
2014-12-01,62
2015-01-01,73
2015-02-01,32
2015-03-01,87
2015-04-01,49
2015-05-01,100
2015-06-01,29
2015-07-01,67
2015-08-01,48
2015-09-01,42
2015-10-01,80
2015-11-01,64
2015-12-01,42
2016-01-01,39
2016-02-01,52
2016-03-01,89
2016-04-01,50
2016-05-01,57
2016-06-01,51
2016-07-01,77
2016-08-01,25
2016-09-01,49
2016-10-01,63
2016-11-01,95
2016-12-01,71
2017-01-01,67
