date,How do I use skype
2011-01-01,93
2011-02-01,71
2011-03-01,80
2011-04-01,79
2011-05-01,74
2011-06-01,80
2011-07-01,84
2011-08-01,80
2011-09-01,65
2011-10-01,65
2011-11-01,70
2011-12-01,100
2012-01-01,84
2012-02-01,73
2012-03-01,64
2012-04-01,73
2012-05-01,68
2012-06-01,79
2012-07-01,85
2012-08-01,81
2012-09-01,89
2012-10-01,73
2012-11-01,77
2012-12-01,89
2013-01-01,87
2013-02-01,79
2013-03-01,82
2013-04-01,91
2013-05-01,74
2013-06-01,78
2013-07-01,82
2013-08-01,80
2013-09-01,79
2013-10-01,69
2013-11-01,74
2013-12-01,68
2014-01-01,89
2014-02-01,69
2014-03-01,70
2014-04-01,57
2014-05-01,64
2014-06-01,62
2014-07-01,55
2014-08-01,57
2014-09-01,60
2014-10-01,52
2014-11-01,54
2014-12-01,54
2015-01-01,46
2015-02-01,51
2015-03-01,49
2015-04-01,45
2015-05-01,43
2015-06-01,42
2015-07-01,44
2015-08-01,38
2015-09-01,41
2015-10-01,39
2015-11-01,41
2015-12-01,39
2016-01-01,45
2016-02-01,37
2016-03-01,36
2016-04-01,34
2016-05-01,26
2016-06-01,30
2016-07-01,27
2016-08-01,41
2016-09-01,37
2016-10-01,35
2016-11-01,38
2016-12-01,36
2017-01-01,33
