date,unfollow facebook,facebook delete friends
2011-01-01,2,88
2011-02-01,2,70
2011-03-01,2,58
2011-04-01,3,56
2011-05-01,3,57
2011-06-01,3,56
2011-07-01,3,62
2011-08-01,4,58
2011-09-01,3,67
2011-10-01,4,74
2011-11-01,5,69
2011-12-01,5,85
2012-01-01,6,96
2012-02-01,7,88
2012-03-01,6,86
2012-04-01,8,96
2012-05-01,7,95
2012-06-01,8,100
2012-07-01,8,99
2012-08-01,9,95
2012-09-01,11,87
2012-10-01,10,93
2012-11-01,9,71
2012-12-01,11,46
2013-01-01,15,41
2013-02-01,17,37
2013-03-01,16,34
2013-04-01,20,32
2013-05-01,20,29
2013-06-01,18,27
2013-07-01,20,26
2013-08-01,20,26
2013-09-01,17,26
2013-10-01,16,22
2013-11-01,15,22
2013-12-01,27,20
2014-01-01,29,23
2014-02-01,31,20
2014-03-01,32,21
2014-04-01,30,21
2014-05-01,31,24
2014-06-01,29,22
2014-07-01,34,23
2014-08-01,33,23
2014-09-01,29,19
2014-10-01,28,19
2014-11-01,26,18
2014-12-01,28,18
2015-01-01,29,19
2015-02-01,25,18
2015-03-01,24,17
2015-04-01,24,17
2015-05-01,26,17
2015-06-01,29,18
2015-07-01,30,19
2015-08-01,26,19
2015-09-01,23,16
2015-10-01,26,16
2015-11-01,27,16
2015-12-01,23,16
2016-01-01,25,17
2016-02-01,21,18
2016-03-01,22,15
2016-04-01,21,16
2016-05-01,21,16
2016-06-01,24,17
2016-07-01,27,17
2016-08-01,24,17
2016-09-01,24,17
2016-10-01,23,17
2016-11-01,30,18
2016-12-01,26,17
2017-01-01,32,17
