date,facebook unfriend,facebook delete friends
2011-01-01,36,88
2011-02-01,36,68
2011-03-01,33,55
2011-04-01,40,53
2011-05-01,40,53
2011-06-01,47,55
2011-07-01,51,61
2011-08-01,54,59
2011-09-01,64,65
2011-10-01,64,74
2011-11-01,62,68
2011-12-01,73,84
2012-01-01,75,95
2012-02-01,89,87
2012-03-01,70,84
2012-04-01,73,93
2012-05-01,75,91
2012-06-01,85,100
2012-07-01,88,96
2012-08-01,89,93
2012-09-01,84,86
2012-10-01,78,91
2012-11-01,75,69
2012-12-01,69,46
2013-01-01,65,39
2013-02-01,62,37
2013-03-01,64,34
2013-04-01,61,32
2013-05-01,56,28
2013-06-01,54,26
2013-07-01,56,26
2013-08-01,56,26
2013-09-01,51,24
2013-10-01,50,22
2013-11-01,45,21
2013-12-01,46,20
2014-01-01,55,22
2014-02-01,47,19
2014-03-01,51,21
2014-04-01,57,21
2014-05-01,48,22
2014-06-01,49,21
2014-07-01,53,22
2014-08-01,53,23
2014-09-01,50,19
2014-10-01,50,18
2014-11-01,48,17
2014-12-01,46,19
2015-01-01,49,18
2015-02-01,45,17
2015-03-01,44,16
2015-04-01,44,16
2015-05-01,49,16
2015-06-01,50,17
2015-07-01,55,18
2015-08-01,52,17
2015-09-01,47,16
2015-10-01,43,15
2015-11-01,42,15
2015-12-01,44,15
2016-01-01,45,16
2016-02-01,43,16
2016-03-01,41,15
2016-04-01,40,15
2016-05-01,43,16
2016-06-01,45,16
2016-07-01,48,17
2016-08-01,43,17
2016-09-01,44,16
2016-10-01,43,16
2016-11-01,55,17
2016-12-01,42,16
2017-01-01,46,17
