date,Facebook how to unfriend,facebook delete friends
2011-01-01,12,88
2011-02-01,13,68
2011-03-01,12,55
2011-04-01,14,53
2011-05-01,13,53
2011-06-01,17,55
2011-07-01,17,61
2011-08-01,20,59
2011-09-01,24,65
2011-10-01,20,74
2011-11-01,20,68
2011-12-01,27,84
2012-01-01,29,95
2012-02-01,28,87
2012-03-01,25,84
2012-04-01,28,93
2012-05-01,31,91
2012-06-01,36,100
2012-07-01,36,96
2012-08-01,40,93
2012-09-01,33,86
2012-10-01,31,91
2012-11-01,26,69
2012-12-01,22,46
2013-01-01,22,39
2013-02-01,20,37
2013-03-01,19,34
2013-04-01,19,32
2013-05-01,18,28
2013-06-01,19,26
2013-07-01,19,26
2013-08-01,17,26
2013-09-01,17,24
2013-10-01,17,22
2013-11-01,15,21
2013-12-01,16,20
2014-01-01,16,22
2014-02-01,15,19
2014-03-01,15,21
2014-04-01,16,21
2014-05-01,18,22
2014-06-01,17,21
2014-07-01,18,22
2014-08-01,17,23
2014-09-01,18,19
2014-10-01,16,18
2014-11-01,15,17
2014-12-01,16,19
2015-01-01,16,18
2015-02-01,15,17
2015-03-01,16,16
2015-04-01,16,16
2015-05-01,16,16
2015-06-01,17,17
2015-07-01,17,18
2015-08-01,18,17
2015-09-01,17,16
2015-10-01,15,15
2015-11-01,13,15
2015-12-01,15,15
2016-01-01,15,16
2016-02-01,14,16
2016-03-01,15,15
2016-04-01,13,15
2016-05-01,17,16
2016-06-01,17,16
2016-07-01,18,17
2016-08-01,15,17
2016-09-01,16,16
2016-10-01,17,16
2016-11-01,21,17
2016-12-01,15,16
2017-01-01,17,17
