date,how to hack someones text messages without having their phone,delete hangout history
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,10,0
2011-06-01,0,0
2011-07-01,0,10
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,8,0
2012-05-01,8,0
2012-06-01,8,8
2012-07-01,8,8
2012-08-01,7,8
2012-09-01,7,7
2012-10-01,7,7
2012-11-01,7,7
2012-12-01,7,10
2013-01-01,9,13
2013-02-01,11,13
2013-03-01,7,13
2013-04-01,7,19
2013-05-01,8,25
2013-06-01,10,42
2013-07-01,13,64
2013-08-01,6,57
2013-09-01,6,43
2013-10-01,6,44
2013-11-01,6,27
2013-12-01,6,48
2014-01-01,6,65
2014-02-01,6,55
2014-03-01,6,60
2014-04-01,6,54
2014-05-01,6,58
2014-06-01,6,45
2014-07-01,6,68
2014-08-01,6,59
2014-09-01,6,68
2014-10-01,6,79
2014-11-01,6,88
2014-12-01,8,58
2015-01-01,11,67
2015-02-01,6,78
2015-03-01,16,61
2015-04-01,16,97
2015-05-01,5,69
2015-06-01,11,40
2015-07-01,11,48
2015-08-01,11,100
2015-09-01,18,64
2015-10-01,12,32
2015-11-01,15,50
2015-12-01,15,48
2016-01-01,7,58
2016-02-01,17,52
2016-03-01,22,35
2016-04-01,12,46
2016-05-01,7,29
2016-06-01,28,37
2016-07-01,9,23
2016-08-01,18,39
2016-09-01,11,25
2016-10-01,15,30
2016-11-01,22,35
2016-12-01,17,43
2017-01-01,20,35
