date,how to hack your iphone,delete hangout history
2011-01-01,36,0
2011-02-01,46,0
2011-03-01,44,2
2011-04-01,36,0
2011-05-01,39,0
2011-06-01,30,0
2011-07-01,47,0
2011-08-01,40,0
2011-09-01,43,0
2011-10-01,47,0
2011-11-01,44,0
2011-12-01,50,0
2012-01-01,65,0
2012-02-01,51,0
2012-03-01,53,0
2012-04-01,49,0
2012-05-01,55,0
2012-06-01,43,2
2012-07-01,64,2
2012-08-01,52,2
2012-09-01,49,2
2012-10-01,48,2
2012-11-01,41,2
2012-12-01,46,3
2013-01-01,44,3
2013-02-01,66,2
2013-03-01,67,2
2013-04-01,64,2
2013-05-01,66,5
2013-06-01,57,9
2013-07-01,62,12
2013-08-01,60,12
2013-09-01,58,9
2013-10-01,52,12
2013-11-01,68,7
2013-12-01,59,11
2014-01-01,72,15
2014-02-01,81,17
2014-03-01,57,12
2014-04-01,69,13
2014-05-01,63,18
2014-06-01,90,14
2014-07-01,76,15
2014-08-01,72,11
2014-09-01,89,15
2014-10-01,72,17
2014-11-01,75,14
2014-12-01,67,12
2015-01-01,89,15
2015-02-01,76,19
2015-03-01,67,12
2015-04-01,65,16
2015-05-01,83,13
2015-06-01,95,11
2015-07-01,76,16
2015-08-01,74,18
2015-09-01,70,14
2015-10-01,71,7
2015-11-01,66,12
2015-12-01,73,15
2016-01-01,70,16
2016-02-01,64,10
2016-03-01,67,12
2016-04-01,62,10
2016-05-01,76,8
2016-06-01,59,8
2016-07-01,100,8
2016-08-01,94,9
2016-09-01,60,5
2016-10-01,69,6
2016-11-01,71,7
2016-12-01,66,5
2017-01-01,65,7
