date,how to get someones texts sent to your phone,delete hangout history
2011-01-01,0,0
2011-02-01,0,13
2011-03-01,11,11
2011-04-01,12,0
2011-05-01,11,0
2011-06-01,12,0
2011-07-01,17,0
2011-08-01,22,0
2011-09-01,11,0
2011-10-01,10,0
2011-11-01,21,0
2011-12-01,9,0
2012-01-01,9,0
2012-02-01,10,0
2012-03-01,18,0
2012-04-01,9,0
2012-05-01,9,0
2012-06-01,15,9
2012-07-01,14,8
2012-08-01,18,8
2012-09-01,13,8
2012-10-01,8,8
2012-11-01,14,8
2012-12-01,8,8
2013-01-01,10,15
2013-02-01,8,11
2013-03-01,15,12
2013-04-01,7,15
2013-05-01,14,34
2013-06-01,7,62
2013-07-01,7,71
2013-08-01,7,63
2013-09-01,22,45
2013-10-01,10,76
2013-11-01,12,57
2013-12-01,14,64
2014-01-01,10,64
2014-02-01,6,72
2014-03-01,6,57
2014-04-01,13,59
2014-05-01,16,53
2014-06-01,18,56
2014-07-01,7,66
2014-08-01,7,62
2014-09-01,20,100
2014-10-01,13,89
2014-11-01,13,73
2014-12-01,13,65
2015-01-01,9,69
2015-02-01,9,66
2015-03-01,9,62
2015-04-01,14,78
2015-05-01,12,66
2015-06-01,6,82
2015-07-01,6,76
2015-08-01,6,76
2015-09-01,6,72
2015-10-01,9,41
2015-11-01,6,61
2015-12-01,6,73
2016-01-01,5,75
2016-02-01,5,45
2016-03-01,5,30
2016-04-01,7,42
2016-05-01,5,34
2016-06-01,5,25
2016-07-01,5,39
2016-08-01,8,36
2016-09-01,9,26
2016-10-01,10,16
2016-11-01,10,30
2016-12-01,10,38
2017-01-01,14,33
