date,how to look at someones text messages online,delete hangout history
2011-01-01,12,0
2011-02-01,11,13
2011-03-01,11,11
2011-04-01,12,0
2011-05-01,12,0
2011-06-01,12,0
2011-07-01,12,0
2011-08-01,15,0
2011-09-01,22,0
2011-10-01,10,0
2011-11-01,14,0
2011-12-01,10,0
2012-01-01,9,0
2012-02-01,10,0
2012-03-01,9,0
2012-04-01,14,0
2012-05-01,9,0
2012-06-01,9,9
2012-07-01,18,8
2012-08-01,18,8
2012-09-01,18,8
2012-10-01,12,8
2012-11-01,12,8
2012-12-01,12,8
2013-01-01,12,15
2013-02-01,7,11
2013-03-01,7,12
2013-04-01,7,15
2013-05-01,7,34
2013-06-01,7,62
2013-07-01,7,71
2013-08-01,7,63
2013-09-01,7,45
2013-10-01,10,76
2013-11-01,17,57
2013-12-01,13,64
2014-01-01,13,64
2014-02-01,14,72
2014-03-01,16,57
2014-04-01,15,59
2014-05-01,15,53
2014-06-01,15,56
2014-07-01,21,66
2014-08-01,14,62
2014-09-01,7,100
2014-10-01,6,89
2014-11-01,13,73
2014-12-01,7,65
2015-01-01,9,69
2015-02-01,13,66
2015-03-01,6,62
2015-04-01,16,78
2015-05-01,18,66
2015-06-01,9,82
2015-07-01,18,76
2015-08-01,6,76
2015-09-01,23,72
2015-10-01,11,41
2015-11-01,9,61
2015-12-01,12,73
2016-01-01,27,75
2016-02-01,13,45
2016-03-01,8,30
2016-04-01,9,42
2016-05-01,13,34
2016-06-01,16,25
2016-07-01,9,39
2016-08-01,7,36
2016-09-01,10,26
2016-10-01,7,16
2016-11-01,10,30
2016-12-01,8,38
2017-01-01,9,33
