date,anti spy mobile free,delete hangout history
2011-01-01,11,0
2011-02-01,10,0
2011-03-01,10,0
2011-04-01,11,0
2011-05-01,10,0
2011-06-01,10,0
2011-07-01,10,10
2011-08-01,10,0
2011-09-01,19,0
2011-10-01,18,0
2011-11-01,18,0
2011-12-01,8,0
2012-01-01,8,0
2012-02-01,8,0
2012-03-01,8,0
2012-04-01,8,0
2012-05-01,8,0
2012-06-01,8,8
2012-07-01,16,8
2012-08-01,8,8
2012-09-01,24,7
2012-10-01,14,7
2012-11-01,29,7
2012-12-01,7,10
2013-01-01,10,13
2013-02-01,25,13
2013-03-01,19,13
2013-04-01,23,19
2013-05-01,10,25
2013-06-01,26,42
2013-07-01,13,64
2013-08-01,25,57
2013-09-01,12,43
2013-10-01,21,44
2013-11-01,48,27
2013-12-01,18,48
2014-01-01,28,65
2014-02-01,22,55
2014-03-01,17,60
2014-04-01,31,54
2014-05-01,34,58
2014-06-01,22,45
2014-07-01,19,68
2014-08-01,19,59
2014-09-01,21,68
2014-10-01,34,79
2014-11-01,20,88
2014-12-01,20,58
2015-01-01,32,67
2015-02-01,23,78
2015-03-01,24,61
2015-04-01,24,97
2015-05-01,13,69
2015-06-01,30,40
2015-07-01,26,48
2015-08-01,26,100
2015-09-01,23,64
2015-10-01,25,32
2015-11-01,23,50
2015-12-01,36,48
2016-01-01,26,58
2016-02-01,31,52
2016-03-01,36,35
2016-04-01,42,46
2016-05-01,29,29
2016-06-01,37,37
2016-07-01,28,23
2016-08-01,25,39
2016-09-01,25,25
2016-10-01,32,30
2016-11-01,19,35
2016-12-01,28,43
2017-01-01,37,35
