date,how to tell if your landline phone is tapped,delete hangout history
2011-01-01,0,0
2011-02-01,13,13
2011-03-01,12,11
2011-04-01,12,0
2011-05-01,12,0
2011-06-01,12,0
2011-07-01,12,0
2011-08-01,10,0
2011-09-01,10,0
2011-10-01,10,0
2011-11-01,9,0
2011-12-01,9,0
2012-01-01,9,0
2012-02-01,10,0
2012-03-01,9,0
2012-04-01,9,0
2012-05-01,9,0
2012-06-01,9,9
2012-07-01,9,8
2012-08-01,11,8
2012-09-01,13,8
2012-10-01,12,8
2012-11-01,8,8
2012-12-01,8,8
2013-01-01,8,15
2013-02-01,8,11
2013-03-01,7,12
2013-04-01,9,15
2013-05-01,10,34
2013-06-01,11,62
2013-07-01,7,71
2013-08-01,7,63
2013-09-01,7,45
2013-10-01,7,76
2013-11-01,7,57
2013-12-01,7,64
2014-01-01,13,64
2014-02-01,6,72
2014-03-01,6,57
2014-04-01,7,59
2014-05-01,10,53
2014-06-01,11,56
2014-07-01,7,66
2014-08-01,7,62
2014-09-01,7,100
2014-10-01,7,89
2014-11-01,7,73
2014-12-01,10,65
2015-01-01,6,69
2015-02-01,7,66
2015-03-01,6,62
2015-04-01,6,78
2015-05-01,6,66
2015-06-01,6,82
2015-07-01,6,76
2015-08-01,9,76
2015-09-01,12,72
2015-10-01,11,41
2015-11-01,6,61
2015-12-01,6,73
2016-01-01,6,75
2016-02-01,11,45
2016-03-01,15,30
2016-04-01,9,42
2016-05-01,10,34
2016-06-01,5,25
2016-07-01,5,39
2016-08-01,5,36
2016-09-01,8,26
2016-10-01,7,16
2016-11-01,12,30
2016-12-01,5,38
2017-01-01,8,33
