date,number to call to see if cell phone is tapped,delete hangout history
2011-01-01,0,0
2011-02-01,14,0
2011-03-01,13,13
2011-04-01,13,13
2011-05-01,13,13
2011-06-01,26,13
2011-07-01,13,13
2011-08-01,24,0
2011-09-01,11,0
2011-10-01,11,0
2011-11-01,10,0
2011-12-01,10,0
2012-01-01,10,0
2012-02-01,10,0
2012-03-01,10,0
2012-04-01,16,0
2012-05-01,10,0
2012-06-01,10,10
2012-07-01,10,10
2012-08-01,10,10
2012-09-01,10,9
2012-10-01,9,9
2012-11-01,9,9
2012-12-01,13,18
2013-01-01,16,16
2013-02-01,13,12
2013-03-01,8,12
2013-04-01,8,8
2013-05-01,8,29
2013-06-01,11,49
2013-07-01,16,72
2013-08-01,8,66
2013-09-01,8,47
2013-10-01,7,67
2013-11-01,11,33
2013-12-01,15,63
2014-01-01,15,85
2014-02-01,15,77
2014-03-01,7,65
2014-04-01,7,72
2014-05-01,10,75
2014-06-01,8,70
2014-07-01,8,89
2014-08-01,8,65
2014-09-01,8,87
2014-10-01,14,88
2014-11-01,7,98
2014-12-01,7,75
2015-01-01,7,79
2015-02-01,7,100
2015-03-01,7,71
2015-04-01,11,95
2015-05-01,13,71
2015-06-01,7,61
2015-07-01,7,67
2015-08-01,7,94
2015-09-01,6,76
2015-10-01,6,39
2015-11-01,6,65
2015-12-01,6,68
2016-01-01,10,79
2016-02-01,12,60
2016-03-01,13,54
2016-04-01,15,52
2016-05-01,13,43
2016-06-01,6,43
2016-07-01,10,39
2016-08-01,10,44
2016-09-01,15,25
2016-10-01,14,34
2016-11-01,18,38
2016-12-01,25,40
2017-01-01,15,41
