date,spy text messages free,delete hangout history
2011-01-01,71,0
2011-02-01,84,0
2011-03-01,60,2
2011-04-01,52,2
2011-05-01,41,2
2011-06-01,55,2
2011-07-01,56,2
2011-08-01,50,0
2011-09-01,52,0
2011-10-01,55,0
2011-11-01,40,0
2011-12-01,51,0
2012-01-01,57,0
2012-02-01,46,0
2012-03-01,53,0
2012-04-01,65,0
2012-05-01,69,0
2012-06-01,61,2
2012-07-01,73,2
2012-08-01,75,2
2012-09-01,74,2
2012-10-01,72,2
2012-11-01,61,2
2012-12-01,74,3
2013-01-01,76,3
2013-02-01,63,2
2013-03-01,73,2
2013-04-01,61,1
2013-05-01,79,5
2013-06-01,78,8
2013-07-01,71,12
2013-08-01,64,11
2013-09-01,65,8
2013-10-01,61,11
2013-11-01,74,6
2013-12-01,68,11
2014-01-01,67,14
2014-02-01,71,13
2014-03-01,85,11
2014-04-01,77,12
2014-05-01,67,13
2014-06-01,54,12
2014-07-01,63,15
2014-08-01,68,11
2014-09-01,45,15
2014-10-01,47,15
2014-11-01,60,16
2014-12-01,50,13
2015-01-01,49,13
2015-02-01,56,17
2015-03-01,53,12
2015-04-01,63,16
2015-05-01,67,12
2015-06-01,60,10
2015-07-01,67,11
2015-08-01,65,16
2015-09-01,62,13
2015-10-01,78,7
2015-11-01,81,11
2015-12-01,71,11
2016-01-01,78,13
2016-02-01,65,10
2016-03-01,75,9
2016-04-01,78,9
2016-05-01,94,7
2016-06-01,100,7
2016-07-01,81,7
2016-08-01,70,7
2016-09-01,44,4
2016-10-01,54,6
2016-11-01,59,6
2016-12-01,73,7
2017-01-01,70,7
