date,certo iphone,delete hangout history
2011-01-01,15,0
2011-02-01,23,0
2011-03-01,24,0
2011-04-01,7,0
2011-05-01,17,0
2011-06-01,25,0
2011-07-01,28,7
2011-08-01,20,0
2011-09-01,16,0
2011-10-01,40,0
2011-11-01,49,0
2011-12-01,34,0
2012-01-01,22,0
2012-02-01,12,0
2012-03-01,11,0
2012-04-01,37,0
2012-05-01,35,0
2012-06-01,25,6
2012-07-01,49,5
2012-08-01,49,5
2012-09-01,62,5
2012-10-01,37,5
2012-11-01,59,5
2012-12-01,47,7
2013-01-01,40,9
2013-02-01,61,9
2013-03-01,46,9
2013-04-01,49,13
2013-05-01,68,17
2013-06-01,49,29
2013-07-01,37,44
2013-08-01,46,39
2013-09-01,72,30
2013-10-01,49,31
2013-11-01,48,19
2013-12-01,64,33
2014-01-01,46,44
2014-02-01,48,38
2014-03-01,51,41
2014-04-01,62,37
2014-05-01,69,40
2014-06-01,50,31
2014-07-01,83,47
2014-08-01,100,40
2014-09-01,84,47
2014-10-01,49,54
2014-11-01,82,60
2014-12-01,69,40
2015-01-01,83,46
2015-02-01,62,54
2015-03-01,73,42
2015-04-01,55,67
2015-05-01,62,47
2015-06-01,54,28
2015-07-01,66,33
2015-08-01,67,69
2015-09-01,78,44
2015-10-01,60,22
2015-11-01,60,34
2015-12-01,80,33
2016-01-01,92,40
2016-02-01,67,36
2016-03-01,64,24
2016-04-01,78,32
2016-05-01,82,20
2016-06-01,73,25
2016-07-01,67,16
2016-08-01,100,27
2016-09-01,82,17
2016-10-01,78,21
2016-11-01,73,24
2016-12-01,70,30
2017-01-01,80,24
