date,how to make twitter private on android,how to make twitter private on app,how to see a private twitter account without following,how to see who favorited a tweet,how to view private twitter account,how to view private twitter accounts 2016,how to view protected tweets without following,how to view protected tweets,private twitter account,protected account liked my tweet,protected account twitter liked my tweet,protected account twitter likes,protected account twitter,twitter privacy settings,who favorited my tweet,Row Total
1/1/11,0,1,0,0,1,0,0,3,9,0,0,0,4,5,1,24
2/1/11,0,1,0,0,2,0,0,5,7,0,0,0,4,4,1,24
3/1/11,0,1,0,0,2,0,0,4,13,0,0,0,4,4,1,29
4/1/11,0,1,0,0,2,0,0,5,16,0,0,0,3,9,1,37
5/1/11,0,1,0,0,2,0,0,6,19,0,0,0,3,16,1,48
6/1/11,0,1,0,0,2,0,1,7,23,0,0,0,6,16,1,57
7/1/11,0,2,0,0,2,0,1,5,21,0,0,0,5,17,1,54
8/1/11,0,1,0,0,2,0,1,3,25,0,0,0,5,20,1,58
9/1/11,0,1,0,0,2,0,2,6,23,0,0,0,3,13,1,51
10/1/11,0,1,0,0,2,0,1,8,42,0,0,0,5,17,1,77
11/1/11,0,1,0,0,6,0,1,6,57,0,0,0,3,20,1,95
12/1/11,0,1,0,0,2,0,1,7,37,0,0,0,6,17,1,72
1/1/12,1,1,0,1,2,0,2,9,25,0,0,0,7,19,2,69
2/1/12,1,2,0,0,3,0,1,9,24,0,0,0,10,23,1,74
3/1/12,1,1,0,0,3,0,1,7,29,0,0,0,11,23,1,77
4/1/12,1,1,0,0,4,0,2,13,35,0,0,0,11,19,2,88
5/1/12,1,1,0,0,1,0,2,9,40,0,0,0,11,19,1,85
6/1/12,1,1,0,0,3,0,1,9,41,0,0,0,13,22,1,92
7/1/12,1,1,0,0,2,0,3,14,44,0,0,0,17,20,1,103
8/1/12,1,1,0,0,1,0,1,12,45,0,0,0,14,22,1,98
9/1/12,2,2,0,0,2,0,1,12,37,0,0,0,13,43,1,113
10/1/12,1,2,0,0,3,0,1,12,45,0,0,0,15,46,2,127
11/1/12,2,2,0,0,2,0,1,10,43,0,0,0,13,36,1,110
12/1/12,1,1,0,0,3,0,2,11,54,0,0,0,12,42,1,127
1/1/13,1,3,0,1,3,0,2,11,60,0,0,0,17,41,2,141
2/1/13,1,6,1,1,2,0,1,8,69,0,0,0,15,37,2,143
3/1/13,3,4,1,1,3,0,1,7,61,0,0,0,21,31,1,134
4/1/13,2,6,1,1,3,0,1,13,54,0,0,0,16,37,1,135
5/1/13,3,8,1,1,3,0,1,7,64,0,0,0,17,34,1,140
6/1/13,3,11,1,1,3,0,2,9,75,0,0,0,18,37,1,161
7/1/13,6,6,1,1,4,0,1,8,100,0,0,0,19,35,1,182
8/1/13,3,4,1,1,6,0,1,10,73,0,0,0,20,27,1,147
9/1/13,3,6,1,1,2,0,1,9,79,0,0,0,18,27,1,148
10/1/13,2,4,1,1,4,0,2,9,66,0,0,0,14,19,1,123
11/1/13,2,7,1,1,4,0,1,8,75,0,0,0,13,23,1,136
12/1/13,2,8,1,1,4,0,1,7,78,0,0,0,13,26,1,142
1/1/14,1,15,1,1,3,0,1,7,83,0,0,0,11,27,2,152
2/1/14,3,19,1,1,2,0,1,6,72,0,0,0,11,27,1,144
3/1/14,2,12,1,1,3,0,1,3,95,0,0,0,7,24,2,151
4/1/14,2,10,1,1,4,0,1,4,94,0,0,0,13,25,2,157
5/1/14,1,10,1,1,3,0,1,5,69,0,0,0,9,19,1,120
6/1/14,1,12,1,1,4,0,1,5,66,0,0,0,10,17,1,119
7/1/14,1,14,1,1,3,0,1,4,81,0,0,0,11,26,2,145
8/1/14,1,9,1,1,4,0,1,5,80,0,0,0,9,24,1,136
9/1/14,1,7,1,1,3,0,1,5,71,0,0,0,8,17,1,116
10/1/14,2,8,1,1,4,0,2,3,65,0,0,0,4,17,2,109
11/1/14,1,7,1,2,4,0,2,6,65,0,0,0,6,27,2,123
12/1/14,1,6,1,1,4,0,1,4,74,0,0,0,6,19,3,120
1/1/15,1,4,1,2,4,0,1,4,66,0,0,0,8,19,3,113
2/1/15,1,3,1,1,4,0,1,5,51,0,0,0,6,14,1,88
3/1/15,1,3,1,2,4,0,1,6,53,0,0,0,10,13,2,96
4/1/15,1,3,1,1,3,0,1,4,52,0,0,0,8,11,1,86
5/1/15,1,5,1,1,2,0,1,4,52,0,0,0,6,9,2,84
6/1/15,1,5,1,1,3,0,1,3,49,0,0,0,9,13,3,89
7/1/15,1,5,1,2,4,0,1,3,56,0,0,0,8,10,3,94
8/1/15,1,6,1,1,3,0,1,4,61,0,0,0,6,11,1,96
