date,delete account instagram,delete instagram account permanently link,delete your account page instagram,delete your account page,how to delete instagram account on iphone,how to delete instagram account on phone,how to delete instagram account permanently from mobile,how to delete instagram,how to reactivate instagram account,how to reactivate instagram,instagram delete account page,instagram deleted my account,instagram disabled my account,instagram help email,temporarily disable instagram,Row Total
1/1/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1/11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6/1/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/11,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4
8/1/11,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
9/1/11,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
10/1/11,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
11/1/11,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5
12/1/11,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7
1/1/12,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8
2/1/12,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9
3/1/12,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,14
4/1/12,13,0,0,0,0,0,0,23,0,0,0,0,0,0,0,36
5/1/12,11,0,0,0,0,0,0,23,0,0,0,0,0,0,0,34
6/1/12,13,0,0,1,0,0,0,32,0,0,0,0,0,0,0,46
7/1/12,15,0,0,1,0,0,0,39,0,0,0,0,0,0,0,55
8/1/12,14,0,0,1,0,0,0,44,0,1,0,0,0,0,0,60
9/1/12,14,0,0,1,0,0,0,42,0,0,0,0,0,0,0,57
10/1/12,15,0,0,1,0,0,0,44,0,0,0,0,0,0,0,60
11/1/12,16,0,0,1,1,0,0,50,0,0,0,0,0,0,0,68
12/1/12,30,0,0,1,1,0,0,78,0,1,0,0,0,0,0,111
1/1/13,34,0,0,1,1,0,0,71,0,1,0,0,0,0,0,108
2/1/13,36,0,0,1,1,0,0,71,0,1,0,0,0,0,0,110
3/1/13,22,0,0,1,1,0,0,68,0,1,0,0,0,0,0,93
4/1/13,22,0,0,1,1,0,0,65,0,1,0,0,0,0,0,90
5/1/13,25,0,0,1,1,0,0,62,1,1,0,1,2,0,0,94
6/1/13,36,0,0,1,1,0,0,69,0,1,0,1,1,0,0,110
7/1/13,25,0,0,1,1,0,0,73,0,1,0,1,1,1,0,104
8/1/13,25,0,0,1,1,0,0,71,0,1,0,1,1,1,0,102
9/1/13,23,0,0,1,0,0,0,59,0,1,0,0,0,1,0,85
10/1/13,24,0,0,1,0,0,0,53,0,1,0,0,0,0,0,79
11/1/13,20,0,0,1,1,0,0,56,0,1,0,0,0,1,0,80
12/1/13,21,0,0,0,1,0,0,69,0,1,0,1,0,1,0,94
1/1/14,27,0,0,1,1,0,0,72,0,1,0,1,0,0,0,103
2/1/14,33,0,0,0,1,0,0,63,1,1,0,0,0,0,0,99
3/1/14,30,0,0,1,1,0,0,70,1,1,0,0,0,1,0,105
4/1/14,26,0,0,0,0,0,0,71,0,1,0,1,0,1,0,100
5/1/14,26,0,0,1,0,0,0,65,0,1,0,1,0,0,0,94
6/1/14,40,0,0,1,1,0,0,69,1,1,0,1,0,0,0,114
7/1/14,41,0,0,0,1,0,0,73,1,1,0,1,0,1,0,119
8/1/14,33,0,0,1,1,0,0,72,0,1,0,1,0,1,0,110
9/1/14,25,0,0,0,1,0,0,64,0,1,0,1,0,1,0,93
10/1/14,25,0,0,0,0,0,0,62,0,1,0,1,0,1,0,90
11/1/14,34,0,0,0,0,0,0,63,0,1,0,1,0,0,0,99
12/1/14,40,0,0,1,0,0,0,71,1,1,0,1,0,1,0,116
1/1/15,40,0,0,1,0,0,0,77,1,1,0,1,0,1,0,122
2/1/15,34,0,0,0,0,0,0,66,1,1,0,1,0,1,0,104
3/1/15,35,0,0,1,1,0,0,66,0,1,0,1,0,0,0,105
4/1/15,37,0,0,1,1,0,0,68,0,1,0,1,0,1,0,110
5/1/15,40,0,0,0,1,0,0,65,0,1,0,1,0,1,0,109
6/1/15,44,0,0,1,1,1,0,71,1,1,0,1,0,1,0,122
7/1/15,53,0,0,0,1,1,0,89,1,1,0,1,1,1,1,150
8/1/15,61,0,0,1,1,0,0,86,1,2,1,1,1,1,1,157
9/1/15,58,0,0,1,0,1,0,77,1,2,1,1,1,1,1,145
10/1/15,52,0,0,1,0,1,0,73,1,1,1,1,1,1,1,134
11/1/15,51,0,0,1,0,1,0,75,1,2,1,1,1,0,1,135
12/1/15,55,0,0,1,1,1,0,82,1,2,1,1,1,1,1,148
1/1/16,66,0,0,1,1,1,0,88,1,2,1,1,1,1,1,165
2/1/16,75,0,0,1,1,0,0,83,1,2,1,1,1,1,1,168
3/1/16,64,0,1,1,1,0,0,86,1,2,1,1,1,1,2,162
4/1/16,60,0,1,1,1,0,0,85,1,2,2,1,1,1,2,158
5/1/16,66,0,1,1,1,0,1,85,1,2,1,1,1,1,1,163
6/1/16,92,0,1,1,1,1,0,95,1,2,2,1,1,1,2,201
7/1/16,98,0,1,1,1,1,0,100,2,3,2,1,1,1,2,214
8/1/16,74,0,1,1,1,0,0,98,1,2,2,2,1,1,2,186
9/1/16,72,0,0,1,0,0,0,88,1,2,2,1,1,1,2,171
10/1/16,87,1,1,1,1,0,0,93,1,2,2,1,1,1,2,194
11/1/16,100,1,1,2,1,1,0,104,2,3,3,1,1,1,2,223
12/1/16,90,1,1,2,1,1,0,109,2,3,3,3,1,1,3,221
1/1/17,92,1,1,2,1,1,0,118,2,3,3,2,1,1,2,230
