date,how to delete gmail account from phone,how to delete gmail
2011-01-01,0,42
2011-02-01,0,43
2011-03-01,0,42
2011-04-01,0,45
2011-05-01,0,44
2011-06-01,0,51
2011-07-01,0,59
2011-08-01,0,56
2011-09-01,0,54
2011-10-01,0,55
2011-11-01,0,54
2011-12-01,0,59
2012-01-01,0,60
2012-02-01,1,50
2012-03-01,0,50
2012-04-01,1,52
2012-05-01,1,51
2012-06-01,1,55
2012-07-01,1,61
2012-08-01,1,65
2012-09-01,1,63
2012-10-01,1,57
2012-11-01,0,58
2012-12-01,1,66
2013-01-01,1,66
2013-02-01,1,69
2013-03-01,1,67
2013-04-01,1,71
2013-05-01,1,71
2013-06-01,1,75
2013-07-01,1,79
2013-08-01,1,79
2013-09-01,1,78
2013-10-01,1,77
2013-11-01,1,76
2013-12-01,2,91
2014-01-01,1,96
2014-02-01,1,88
2014-03-01,1,88
2014-04-01,1,89
2014-05-01,1,86
2014-06-01,1,88
2014-07-01,1,94
2014-08-01,1,100
2014-09-01,2,94
2014-10-01,1,91
2014-11-01,1,90
2014-12-01,1,86
2015-01-01,1,85
2015-02-01,1,80
2015-03-01,1,84
2015-04-01,1,83
2015-05-01,1,82
2015-06-01,2,87
2015-07-01,1,90
2015-08-01,2,95
2015-09-01,2,89
2015-10-01,2,84
2015-11-01,1,80
2015-12-01,1,89
2016-01-01,2,91
2016-02-01,2,87
2016-03-01,2,85
2016-04-01,2,84
2016-05-01,2,83
2016-06-01,2,92
2016-07-01,2,94
2016-08-01,2,97
2016-09-01,2,93
2016-10-01,2,91
2016-11-01,2,91
2016-12-01,2,97
2017-01-01,2,100
