date,how to delete gmail email,how to delete gmail
2011-01-01,5,42
2011-02-01,5,43
2011-03-01,5,42
2011-04-01,6,45
2011-05-01,6,44
2011-06-01,6,51
2011-07-01,7,59
2011-08-01,6,56
2011-09-01,7,54
2011-10-01,7,55
2011-11-01,6,54
2011-12-01,7,59
2012-01-01,7,60
2012-02-01,6,50
2012-03-01,7,50
2012-04-01,7,52
2012-05-01,7,51
2012-06-01,8,55
2012-07-01,9,61
2012-08-01,8,65
2012-09-01,8,63
2012-10-01,7,57
2012-11-01,7,58
2012-12-01,8,66
2013-01-01,8,66
2013-02-01,9,69
2013-03-01,8,67
2013-04-01,9,71
2013-05-01,8,71
2013-06-01,10,75
2013-07-01,9,79
2013-08-01,9,79
2013-09-01,9,78
2013-10-01,10,77
2013-11-01,9,76
2013-12-01,11,91
2014-01-01,12,96
2014-02-01,12,88
2014-03-01,10,88
2014-04-01,11,89
2014-05-01,10,86
2014-06-01,10,88
2014-07-01,10,94
2014-08-01,11,100
2014-09-01,12,94
2014-10-01,11,91
2014-11-01,10,90
2014-12-01,10,86
2015-01-01,10,85
2015-02-01,10,80
2015-03-01,11,84
2015-04-01,10,83
2015-05-01,10,82
2015-06-01,11,87
2015-07-01,11,90
2015-08-01,12,95
2015-09-01,11,89
2015-10-01,12,84
2015-11-01,11,80
2015-12-01,14,89
2016-01-01,13,91
2016-02-01,11,87
2016-03-01,10,85
2016-04-01,11,84
2016-05-01,11,83
2016-06-01,11,92
2016-07-01,11,94
2016-08-01,13,97
2016-09-01,13,93
2016-10-01,12,91
2016-11-01,13,91
2016-12-01,13,97
2017-01-01,14,100
