date,How to delete gmail ,how to delete gmail
2011-01-01,43,43
2011-02-01,43,43
2011-03-01,42,42
2011-04-01,47,47
2011-05-01,45,45
2011-06-01,52,52
2011-07-01,60,60
2011-08-01,56,56
2011-09-01,58,58
2011-10-01,56,56
2011-11-01,58,58
2011-12-01,62,62
2012-01-01,62,62
2012-02-01,52,52
2012-03-01,51,51
2012-04-01,53,53
2012-05-01,52,52
2012-06-01,57,57
2012-07-01,63,63
2012-08-01,66,66
2012-09-01,62,62
2012-10-01,58,58
2012-11-01,60,60
2012-12-01,68,68
2013-01-01,67,67
2013-02-01,69,69
2013-03-01,71,71
2013-04-01,71,71
2013-05-01,72,72
2013-06-01,80,80
2013-07-01,79,79
2013-08-01,83,83
2013-09-01,81,81
2013-10-01,78,78
2013-11-01,78,78
2013-12-01,92,92
2014-01-01,97,97
2014-02-01,92,92
2014-03-01,93,93
2014-04-01,91,91
2014-05-01,88,88
2014-06-01,91,91
2014-07-01,94,94
2014-08-01,100,100
2014-09-01,97,97
2014-10-01,91,91
2014-11-01,94,94
2014-12-01,87,87
2015-01-01,89,89
2015-02-01,81,81
2015-03-01,83,83
2015-04-01,84,84
2015-05-01,85,85
2015-06-01,89,89
2015-07-01,90,90
2015-08-01,98,98
2015-09-01,92,92
2015-10-01,86,86
2015-11-01,82,82
2015-12-01,87,87
2016-01-01,92,92
2016-02-01,87,87
2016-03-01,85,85
2016-04-01,84,84
2016-05-01,86,86
2016-06-01,92,92
2016-07-01,98,98
2016-08-01,98,98
2016-09-01,95,95
2016-10-01,92,92
2016-11-01,92,92
2016-12-01,99,99
2017-01-01,99,99
