date,delete google account,how to delete gmail
2011-01-01,25,42
2011-02-01,23,43
2011-03-01,24,42
2011-04-01,23,45
2011-05-01,28,44
2011-06-01,32,51
2011-07-01,44,59
2011-08-01,36,56
2011-09-01,45,54
2011-10-01,43,55
2011-11-01,40,54
2011-12-01,40,59
2012-01-01,43,60
2012-02-01,39,50
2012-03-01,35,50
2012-04-01,34,52
2012-05-01,34,51
2012-06-01,33,55
2012-07-01,39,61
2012-08-01,38,65
2012-09-01,37,63
2012-10-01,37,57
2012-11-01,36,58
2012-12-01,44,66
2013-01-01,43,66
2013-02-01,45,69
2013-03-01,44,67
2013-04-01,44,71
2013-05-01,44,71
2013-06-01,49,75
2013-07-01,50,79
2013-08-01,54,79
2013-09-01,50,78
2013-10-01,52,77
2013-11-01,54,76
2013-12-01,60,91
2014-01-01,63,96
2014-02-01,59,88
2014-03-01,60,88
2014-04-01,58,89
2014-05-01,56,86
2014-06-01,57,88
2014-07-01,63,94
2014-08-01,65,100
2014-09-01,59,94
2014-10-01,60,91
2014-11-01,58,90
2014-12-01,59,86
2015-01-01,58,85
2015-02-01,55,80
2015-03-01,55,84
2015-04-01,55,83
2015-05-01,55,82
2015-06-01,58,87
2015-07-01,64,90
2015-08-01,64,95
2015-09-01,60,89
2015-10-01,55,84
2015-11-01,55,80
2015-12-01,58,89
2016-01-01,62,91
2016-02-01,59,87
2016-03-01,58,85
2016-04-01,57,84
2016-05-01,58,83
2016-06-01,60,92
2016-07-01,78,94
2016-08-01,72,97
2016-09-01,65,93
2016-10-01,65,91
2016-11-01,63,91
2016-12-01,70,97
2017-01-01,69,100
