date,How to encrypt text messages
2011-01-01,34
2011-02-01,0
2011-03-01,0
2011-04-01,69
2011-05-01,32
2011-06-01,0
2011-07-01,33
2011-08-01,46
2011-09-01,0
2011-10-01,29
2011-11-01,58
2011-12-01,43
2012-01-01,26
2012-02-01,55
2012-03-01,0
2012-04-01,27
2012-05-01,25
2012-06-01,39
2012-07-01,0
2012-08-01,0
2012-09-01,76
2012-10-01,23
2012-11-01,34
2012-12-01,46
2013-01-01,31
2013-02-01,46
2013-03-01,31
2013-04-01,42
2013-05-01,0
2013-06-01,52
2013-07-01,21
2013-08-01,20
2013-09-01,0
2013-10-01,29
2013-11-01,39
2013-12-01,49
2014-01-01,27
2014-02-01,20
2014-03-01,26
2014-04-01,55
2014-05-01,56
2014-06-01,41
2014-07-01,100
2014-08-01,50
2014-09-01,48
2014-10-01,83
2014-11-01,19
2014-12-01,37
2015-01-01,34
2015-02-01,19
2015-03-01,68
2015-04-01,70
2015-05-01,42
2015-06-01,43
2015-07-01,26
2015-08-01,34
2015-09-01,33
2015-10-01,63
2015-11-01,32
2015-12-01,41
2016-01-01,69
2016-02-01,46
2016-03-01,29
2016-04-01,45
2016-05-01,58
2016-06-01,15
2016-07-01,22
2016-08-01,44
2016-09-01,36
2016-10-01,62
2016-11-01,69
2016-12-01,84
2017-01-01,46
