date,delete my twitter,how to delete twitter
2011-01-01,4,18
2011-02-01,3,18
2011-03-01,5,21
2011-04-01,5,24
2011-05-01,6,26
2011-06-01,7,33
2011-07-01,8,38
2011-08-01,8,39
2011-09-01,7,33
2011-10-01,8,39
2011-11-01,9,44
2011-12-01,10,50
2012-01-01,11,55
2012-02-01,10,51
2012-03-01,12,52
2012-04-01,13,60
2012-05-01,14,60
2012-06-01,16,66
2012-07-01,19,83
2012-08-01,18,78
2012-09-01,16,72
2012-10-01,17,68
2012-11-01,18,73
2012-12-01,19,84
2013-01-01,19,86
2013-02-01,19,80
2013-03-01,19,80
2013-04-01,18,73
2013-05-01,16,69
2013-06-01,19,74
2013-07-01,19,83
2013-08-01,20,85
2013-09-01,18,74
2013-10-01,16,68
2013-11-01,16,68
2013-12-01,20,75
2014-01-01,21,87
2014-02-01,20,83
2014-03-01,19,81
2014-04-01,17,78
2014-05-01,17,77
2014-06-01,18,77
2014-07-01,18,86
2014-08-01,21,87
2014-09-01,18,78
2014-10-01,16,75
2014-11-01,18,79
2014-12-01,17,83
2015-01-01,21,91
2015-02-01,16,82
2015-03-01,17,82
2015-04-01,17,82
2015-05-01,18,83
2015-06-01,18,91
2015-07-01,21,100
2015-08-01,18,97
2015-09-01,18,85
2015-10-01,16,76
2015-11-01,17,81
2015-12-01,16,82
2016-01-01,18,90
2016-02-01,16,78
2016-03-01,15,79
2016-04-01,16,74
2016-05-01,16,78
2016-06-01,18,90
2016-07-01,18,94
2016-08-01,18,90
2016-09-01,16,78
2016-10-01,15,76
2016-11-01,17,79
2016-12-01,15,80
2017-01-01,19,93
