date,how to delete twitter account,how to delete twitter
2011-01-01,8,19
2011-02-01,5,18
2011-03-01,9,20
2011-04-01,7,24
2011-05-01,10,26
2011-06-01,11,33
2011-07-01,16,40
2011-08-01,13,39
2011-09-01,14,34
2011-10-01,15,40
2011-11-01,17,44
2011-12-01,18,50
2012-01-01,19,56
2012-02-01,18,51
2012-03-01,17,52
2012-04-01,22,59
2012-05-01,22,60
2012-06-01,25,65
2012-07-01,28,86
2012-08-01,31,79
2012-09-01,28,69
2012-10-01,25,69
2012-11-01,25,75
2012-12-01,29,85
2013-01-01,37,87
2013-02-01,36,80
2013-03-01,29,82
2013-04-01,25,73
2013-05-01,33,69
2013-06-01,38,74
2013-07-01,33,86
2013-08-01,31,84
2013-09-01,37,73
2013-10-01,34,70
2013-11-01,26,69
2013-12-01,30,78
2014-01-01,40,87
2014-02-01,50,84
2014-03-01,38,81
2014-04-01,32,79
2014-05-01,31,76
2014-06-01,45,77
2014-07-01,53,87
2014-08-01,44,86
2014-09-01,43,79
2014-10-01,40,76
2014-11-01,40,79
2014-12-01,44,82
2015-01-01,49,91
2015-02-01,44,83
2015-03-01,43,84
2015-04-01,46,84
2015-05-01,41,84
2015-06-01,51,92
2015-07-01,50,100
2015-08-01,47,98
2015-09-01,45,86
2015-10-01,43,76
2015-11-01,41,81
2015-12-01,42,84
2016-01-01,46,90
2016-02-01,41,78
2016-03-01,42,79
2016-04-01,39,74
2016-05-01,37,78
2016-06-01,47,90
2016-07-01,55,95
2016-08-01,52,89
2016-09-01,41,79
2016-10-01,40,76
2016-11-01,44,80
2016-12-01,51,82
2017-01-01,52,94
