date,how to delete Twitter,how to delete twitter
2011-01-01,19,19
2011-02-01,19,19
2011-03-01,22,22
2011-04-01,23,23
2011-05-01,27,27
2011-06-01,31,31
2011-07-01,37,37
2011-08-01,36,36
2011-09-01,32,32
2011-10-01,39,39
2011-11-01,43,43
2011-12-01,48,48
2012-01-01,53,53
2012-02-01,50,50
2012-03-01,50,50
2012-04-01,60,60
2012-05-01,58,58
2012-06-01,70,70
2012-07-01,81,81
2012-08-01,79,79
2012-09-01,69,69
2012-10-01,68,68
2012-11-01,73,73
2012-12-01,83,83
2013-01-01,86,86
2013-02-01,76,76
2013-03-01,80,80
2013-04-01,75,75
2013-05-01,68,68
2013-06-01,74,74
2013-07-01,85,85
2013-08-01,83,83
2013-09-01,73,73
2013-10-01,66,66
2013-11-01,67,67
2013-12-01,76,76
2014-01-01,83,83
2014-02-01,80,80
2014-03-01,82,82
2014-04-01,77,77
2014-05-01,72,72
2014-06-01,76,76
2014-07-01,83,83
2014-08-01,85,85
2014-09-01,74,74
2014-10-01,74,74
2014-11-01,78,78
2014-12-01,82,82
2015-01-01,88,88
2015-02-01,83,83
2015-03-01,82,82
2015-04-01,86,86
2015-05-01,84,84
2015-06-01,88,88
2015-07-01,100,100
2015-08-01,97,97
2015-09-01,85,85
2015-10-01,75,75
2015-11-01,77,77
2015-12-01,83,83
2016-01-01,87,87
2016-02-01,78,78
2016-03-01,77,77
2016-04-01,74,74
2016-05-01,78,78
2016-06-01,89,89
2016-07-01,94,94
2016-08-01,85,85
2016-09-01,78,78
2016-10-01,76,76
2016-11-01,79,79
2016-12-01,78,78
2017-01-01,91,91
