date,Remove twitter,how to delete twitter
2011-01-01,20,18
2011-02-01,20,18
2011-03-01,26,21
2011-04-01,25,24
2011-05-01,26,26
2011-06-01,26,33
2011-07-01,27,38
2011-08-01,28,39
2011-09-01,26,33
2011-10-01,27,39
2011-11-01,30,44
2011-12-01,33,50
2012-01-01,34,55
2012-02-01,36,51
2012-03-01,30,52
2012-04-01,33,60
2012-05-01,33,60
2012-06-01,34,66
2012-07-01,37,83
2012-08-01,37,78
2012-09-01,36,72
2012-10-01,34,68
2012-11-01,33,73
2012-12-01,34,84
2013-01-01,32,86
2013-02-01,34,80
2013-03-01,33,80
2013-04-01,33,73
2013-05-01,32,69
2013-06-01,34,74
2013-07-01,35,83
2013-08-01,36,85
2013-09-01,31,74
2013-10-01,29,68
2013-11-01,28,68
2013-12-01,30,75
2014-01-01,30,87
2014-02-01,30,83
2014-03-01,32,81
2014-04-01,30,78
2014-05-01,30,77
2014-06-01,30,77
2014-07-01,31,86
2014-08-01,31,87
2014-09-01,31,78
2014-10-01,30,75
2014-11-01,28,79
2014-12-01,28,83
2015-01-01,31,91
2015-02-01,30,82
2015-03-01,29,82
2015-04-01,30,82
2015-05-01,28,83
2015-06-01,29,91
2015-07-01,31,100
2015-08-01,30,97
2015-09-01,29,85
2015-10-01,26,76
2015-11-01,27,81
2015-12-01,27,82
2016-01-01,28,90
2016-02-01,28,78
2016-03-01,28,79
2016-04-01,28,74
2016-05-01,27,78
2016-06-01,30,90
2016-07-01,32,94
2016-08-01,28,90
2016-09-01,27,78
2016-10-01,26,76
2016-11-01,28,79
2016-12-01,26,80
2017-01-01,31,93
