date,delete twitter,how to delete twitter
2011-01-01,22,11
2011-02-01,24,11
2011-03-01,28,13
2011-04-01,30,14
2011-05-01,32,16
2011-06-01,36,18
2011-07-01,45,22
2011-08-01,41,21
2011-09-01,39,19
2011-10-01,41,23
2011-11-01,49,26
2011-12-01,55,28
2012-01-01,59,31
2012-02-01,58,30
2012-03-01,55,30
2012-04-01,68,35
2012-05-01,65,34
2012-06-01,75,42
2012-07-01,85,48
2012-08-01,90,47
2012-09-01,78,41
2012-10-01,73,40
2012-11-01,79,43
2012-12-01,89,49
2013-01-01,92,51
2013-02-01,87,45
2013-03-01,81,47
2013-04-01,79,45
2013-05-01,75,40
2013-06-01,81,44
2013-07-01,88,50
2013-08-01,86,49
2013-09-01,77,43
2013-10-01,72,39
2013-11-01,71,40
2013-12-01,78,45
2014-01-01,89,49
2014-02-01,84,47
2014-03-01,85,49
2014-04-01,81,45
2014-05-01,79,43
2014-06-01,82,45
2014-07-01,87,49
2014-08-01,90,50
2014-09-01,81,44
2014-10-01,78,43
2014-11-01,79,46
2014-12-01,85,48
2015-01-01,92,52
2015-02-01,85,49
2015-03-01,83,49
2015-04-01,85,51
2015-05-01,85,49
2015-06-01,88,52
2015-07-01,100,59
2015-08-01,96,57
2015-09-01,85,50
2015-10-01,79,44
2015-11-01,82,45
2015-12-01,83,49
2016-01-01,88,51
2016-02-01,79,46
2016-03-01,78,46
2016-04-01,77,44
2016-05-01,78,46
2016-06-01,94,52
2016-07-01,94,55
2016-08-01,88,50
2016-09-01,82,46
2016-10-01,77,45
2016-11-01,80,47
2016-12-01,80,46
2017-01-01,96,54
