date,facebook unfriend
2011-01-01,39
2011-02-01,38
2011-03-01,37
2011-04-01,41
2011-05-01,42
2011-06-01,49
2011-07-01,54
2011-08-01,58
2011-09-01,70
2011-10-01,67
2011-11-01,69
2011-12-01,78
2012-01-01,82
2012-02-01,99
2012-03-01,75
2012-04-01,81
2012-05-01,83
2012-06-01,94
2012-07-01,99
2012-08-01,100
2012-09-01,93
2012-10-01,84
2012-11-01,83
2012-12-01,73
2013-01-01,73
2013-02-01,69
2013-03-01,67
2013-04-01,66
2013-05-01,60
2013-06-01,58
2013-07-01,59
2013-08-01,57
2013-09-01,54
2013-10-01,54
2013-11-01,48
2013-12-01,49
2014-01-01,58
2014-02-01,50
2014-03-01,56
2014-04-01,64
2014-05-01,53
2014-06-01,53
2014-07-01,57
2014-08-01,56
2014-09-01,55
2014-10-01,54
2014-11-01,52
2014-12-01,51
2015-01-01,52
2015-02-01,49
2015-03-01,48
2015-04-01,49
2015-05-01,52
2015-06-01,55
2015-07-01,60
2015-08-01,57
2015-09-01,51
2015-10-01,45
2015-11-01,45
2015-12-01,48
2016-01-01,50
2016-02-01,46
2016-03-01,45
2016-04-01,44
2016-05-01,47
2016-06-01,49
2016-07-01,54
2016-08-01,48
2016-09-01,47
2016-10-01,48
2016-11-01,58
2016-12-01,46
2017-01-01,52
