date,how do i unfriend someone on facebook
2011-01-01,39
2011-02-01,31
2011-03-01,18
2011-04-01,33
2011-05-01,60
2011-06-01,50
2011-07-01,43
2011-08-01,55
2011-09-01,55
2011-10-01,46
2011-11-01,35
2011-12-01,46
2012-01-01,46
2012-02-01,48
2012-03-01,51
2012-04-01,57
2012-05-01,50
2012-06-01,62
2012-07-01,100
2012-08-01,99
2012-09-01,78
2012-10-01,95
2012-11-01,73
2012-12-01,71
2013-01-01,70
2013-02-01,76
2013-03-01,63
2013-04-01,76
2013-05-01,53
2013-06-01,59
2013-07-01,60
2013-08-01,77
2013-09-01,76
2013-10-01,73
2013-11-01,63
2013-12-01,51
2014-01-01,59
2014-02-01,60
2014-03-01,59
2014-04-01,54
2014-05-01,49
2014-06-01,65
2014-07-01,73
2014-08-01,56
2014-09-01,72
2014-10-01,61
2014-11-01,66
2014-12-01,61
2015-01-01,43
2015-02-01,64
2015-03-01,58
2015-04-01,55
2015-05-01,62
2015-06-01,66
2015-07-01,76
2015-08-01,64
2015-09-01,60
2015-10-01,59
2015-11-01,61
2015-12-01,66
2016-01-01,63
2016-02-01,62
2016-03-01,49
2016-04-01,43
2016-05-01,43
2016-06-01,68
2016-07-01,67
2016-08-01,45
2016-09-01,54
2016-10-01,69
2016-11-01,89
2016-12-01,59
2017-01-01,46
