date,Facebook remove friend
2011-01-01,100
2011-02-01,94
2011-03-01,83
2011-04-01,87
2011-05-01,82
2011-06-01,83
2011-07-01,88
2011-08-01,90
2011-09-01,86
2011-10-01,77
2011-11-01,69
2011-12-01,74
2012-01-01,76
2012-02-01,61
2012-03-01,63
2012-04-01,65
2012-05-01,66
2012-06-01,72
2012-07-01,76
2012-08-01,70
2012-09-01,72
2012-10-01,58
2012-11-01,47
2012-12-01,49
2013-01-01,48
2013-02-01,42
2013-03-01,45
2013-04-01,38
2013-05-01,43
2013-06-01,38
2013-07-01,37
2013-08-01,35
2013-09-01,34
2013-10-01,34
2013-11-01,30
2013-12-01,28
2014-01-01,27
2014-02-01,25
2014-03-01,29
2014-04-01,28
2014-05-01,26
2014-06-01,31
2014-07-01,30
2014-08-01,32
2014-09-01,28
2014-10-01,24
2014-11-01,22
2014-12-01,26
2015-01-01,26
2015-02-01,26
2015-03-01,24
2015-04-01,23
2015-05-01,22
2015-06-01,26
2015-07-01,26
2015-08-01,24
2015-09-01,26
2015-10-01,24
2015-11-01,22
2015-12-01,24
2016-01-01,28
2016-02-01,26
2016-03-01,25
2016-04-01,26
2016-05-01,26
2016-06-01,27
2016-07-01,30
2016-08-01,29
2016-09-01,24
2016-10-01,29
2016-11-01,28
2016-12-01,26
2017-01-01,28
