date,facebook account deactivated or deleted
2011-01-01,49
2011-02-01,46
2011-03-01,46
2011-04-01,46
2011-05-01,46
2011-06-01,47
2011-07-01,47
2011-08-01,44
2011-09-01,43
2011-10-01,41
2011-11-01,61
2011-12-01,81
2012-01-01,38
2012-02-01,39
2012-03-01,73
2012-04-01,51
2012-05-01,59
2012-06-01,37
2012-07-01,36
2012-08-01,36
2012-09-01,36
2012-10-01,33
2012-11-01,33
2012-12-01,33
2013-01-01,45
2013-02-01,33
2013-03-01,39
2013-04-01,45
2013-05-01,48
2013-06-01,30
2013-07-01,29
2013-08-01,43
2013-09-01,48
2013-10-01,54
2013-11-01,55
2013-12-01,69
2014-01-01,34
2014-02-01,84
2014-03-01,25
2014-04-01,43
2014-05-01,53
2014-06-01,49
2014-07-01,28
2014-08-01,100
2014-09-01,41
2014-10-01,52
2014-11-01,40
2014-12-01,39
2015-01-01,33
2015-02-01,53
2015-03-01,24
2015-04-01,49
2015-05-01,48
2015-06-01,66
2015-07-01,24
2015-08-01,64
2015-09-01,55
2015-10-01,37
2015-11-01,23
2015-12-01,70
2016-01-01,58
2016-02-01,58
2016-03-01,41
2016-04-01,70
2016-05-01,82
2016-06-01,71
2016-07-01,57
2016-08-01,62
2016-09-01,62
2016-10-01,49
2016-11-01,66
2016-12-01,50
2017-01-01,81
