date,how to reactivate facebook
2011-01-01,70
2011-02-01,72
2011-03-01,69
2011-04-01,62
2011-05-01,68
2011-06-01,88
2011-07-01,87
2011-08-01,86
2011-09-01,100
2011-10-01,93
2011-11-01,95
2011-12-01,79
2012-01-01,98
2012-02-01,94
2012-03-01,90
2012-04-01,86
2012-05-01,85
2012-06-01,85
2012-07-01,84
2012-08-01,93
2012-09-01,83
2012-10-01,71
2012-11-01,69
2012-12-01,76
2013-01-01,69
2013-02-01,61
2013-03-01,69
2013-04-01,56
2013-05-01,57
2013-06-01,64
2013-07-01,81
2013-08-01,77
2013-09-01,62
2013-10-01,68
2013-11-01,63
2013-12-01,64
2014-01-01,58
2014-02-01,63
2014-03-01,58
2014-04-01,55
2014-05-01,68
2014-06-01,71
2014-07-01,74
2014-08-01,81
2014-09-01,60
2014-10-01,59
2014-11-01,56
2014-12-01,62
2015-01-01,59
2015-02-01,61
2015-03-01,57
2015-04-01,58
2015-05-01,53
2015-06-01,59
2015-07-01,65
2015-08-01,63
2015-09-01,62
2015-10-01,64
2015-11-01,70
2015-12-01,64
2016-01-01,62
2016-02-01,67
2016-03-01,65
2016-04-01,64
2016-05-01,59
2016-06-01,60
2016-07-01,69
2016-08-01,64
2016-09-01,62
2016-10-01,63
2016-11-01,61
2016-12-01,64
2017-01-01,67
