date,how to delete facebook account on android
2011-01-01,30
2011-02-01,30
2011-03-01,16
2011-04-01,12
2011-05-01,38
2011-06-01,33
2011-07-01,29
2011-08-01,24
2011-09-01,17
2011-10-01,26
2011-11-01,32
2011-12-01,50
2012-01-01,52
2012-02-01,57
2012-03-01,37
2012-04-01,45
2012-05-01,17
2012-06-01,20
2012-07-01,34
2012-08-01,39
2012-09-01,42
2012-10-01,36
2012-11-01,20
2012-12-01,38
2013-01-01,37
2013-02-01,28
2013-03-01,23
2013-04-01,32
2013-05-01,27
2013-06-01,35
2013-07-01,34
2013-08-01,38
2013-09-01,24
2013-10-01,29
2013-11-01,35
2013-12-01,24
2014-01-01,44
2014-02-01,33
2014-03-01,37
2014-04-01,38
2014-05-01,37
2014-06-01,55
2014-07-01,29
2014-08-01,45
2014-09-01,36
2014-10-01,34
2014-11-01,42
2014-12-01,53
2015-01-01,50
2015-02-01,35
2015-03-01,24
2015-04-01,35
2015-05-01,39
2015-06-01,46
2015-07-01,51
2015-08-01,64
2015-09-01,62
2015-10-01,42
2015-11-01,46
2015-12-01,45
2016-01-01,48
2016-02-01,42
2016-03-01,51
2016-04-01,46
2016-05-01,48
2016-06-01,76
2016-07-01,88
2016-08-01,75
2016-09-01,74
2016-10-01,51
2016-11-01,91
2016-12-01,100
2017-01-01,69
