date,deactivate facebook what happens
2011-01-01,99
2011-02-01,72
2011-03-01,95
2011-04-01,74
2011-05-01,79
2011-06-01,92
2011-07-01,99
2011-08-01,100
2011-09-01,90
2011-10-01,60
2011-11-01,69
2011-12-01,70
2012-01-01,64
2012-02-01,66
2012-03-01,65
2012-04-01,58
2012-05-01,61
2012-06-01,60
2012-07-01,56
2012-08-01,62
2012-09-01,62
2012-10-01,50
2012-11-01,49
2012-12-01,54
2013-01-01,56
2013-02-01,55
2013-03-01,48
2013-04-01,54
2013-05-01,52
2013-06-01,56
2013-07-01,56
2013-08-01,57
2013-09-01,47
2013-10-01,43
2013-11-01,47
2013-12-01,57
2014-01-01,72
2014-02-01,58
2014-03-01,65
2014-04-01,50
2014-05-01,60
2014-06-01,60
2014-07-01,62
2014-08-01,74
2014-09-01,58
2014-10-01,46
2014-11-01,58
2014-12-01,57
2015-01-01,66
2015-02-01,53
2015-03-01,50
2015-04-01,56
2015-05-01,51
2015-06-01,56
2015-07-01,54
2015-08-01,51
2015-09-01,48
2015-10-01,54
2015-11-01,49
2015-12-01,50
2016-01-01,59
2016-02-01,62
2016-03-01,56
2016-04-01,62
2016-05-01,58
2016-06-01,68
2016-07-01,70
2016-08-01,73
2016-09-01,76
2016-10-01,65
2016-11-01,77
2016-12-01,67
2017-01-01,73
