date,how to close facebook account permanently
2011-01-01,35
2011-02-01,18
2011-03-01,12
2011-04-01,18
2011-05-01,29
2011-06-01,42
2011-07-01,34
2011-08-01,60
2011-09-01,46
2011-10-01,44
2011-11-01,51
2011-12-01,54
2012-01-01,57
2012-02-01,62
2012-03-01,69
2012-04-01,100
2012-05-01,98
2012-06-01,82
2012-07-01,88
2012-08-01,58
2012-09-01,70
2012-10-01,55
2012-11-01,50
2012-12-01,96
2013-01-01,48
2013-02-01,73
2013-03-01,49
2013-04-01,48
2013-05-01,57
2013-06-01,51
2013-07-01,42
2013-08-01,57
2013-09-01,69
2013-10-01,84
2013-11-01,42
2013-12-01,34
2014-01-01,37
2014-02-01,33
2014-03-01,52
2014-04-01,42
2014-05-01,54
2014-06-01,39
2014-07-01,58
2014-08-01,89
2014-09-01,42
2014-10-01,49
2014-11-01,45
2014-12-01,42
2015-01-01,48
2015-02-01,47
2015-03-01,43
2015-04-01,69
2015-05-01,75
2015-06-01,48
2015-07-01,60
2015-08-01,66
2015-09-01,59
2015-10-01,46
2015-11-01,31
2015-12-01,39
2016-01-01,55
2016-02-01,29
2016-03-01,35
2016-04-01,40
2016-05-01,20
2016-06-01,32
2016-07-01,50
2016-08-01,47
2016-09-01,43
2016-10-01,49
2016-11-01,48
2016-12-01,39
2017-01-01,65
