date,facebook account delete option
2011-01-01,45
2011-02-01,48
2011-03-01,23
2011-04-01,23
2011-05-01,22
2011-06-01,22
2011-07-01,22
2011-08-01,52
2011-09-01,70
2011-10-01,86
2011-11-01,67
2011-12-01,75
2012-01-01,61
2012-02-01,27
2012-03-01,77
2012-04-01,27
2012-05-01,33
2012-06-01,17
2012-07-01,25
2012-08-01,34
2012-09-01,75
2012-10-01,61
2012-11-01,46
2012-12-01,31
2013-01-01,41
2013-02-01,76
2013-03-01,20
2013-04-01,55
2013-05-01,13
2013-06-01,83
2013-07-01,54
2013-08-01,27
2013-09-01,46
2013-10-01,19
2013-11-01,57
2013-12-01,32
2014-01-01,42
2014-02-01,39
2014-03-01,35
2014-04-01,42
2014-05-01,62
2014-06-01,54
2014-07-01,52
2014-08-01,40
2014-09-01,38
2014-10-01,12
2014-11-01,31
2014-12-01,12
2015-01-01,34
2015-02-01,61
2015-03-01,34
2015-04-01,23
2015-05-01,50
2015-06-01,46
2015-07-01,39
2015-08-01,56
2015-09-01,44
2015-10-01,42
2015-11-01,21
2015-12-01,65
2016-01-01,35
2016-02-01,35
2016-03-01,57
2016-04-01,54
2016-05-01,33
2016-06-01,74
2016-07-01,80
2016-08-01,82
2016-09-01,96
2016-10-01,100
2016-11-01,69
2016-12-01,41
2017-01-01,100
