date,how to reactivate a deleted facebook account
2011-01-01,63
2011-02-01,39
2011-03-01,39
2011-04-01,43
2011-05-01,80
2011-06-01,40
2011-07-01,40
2011-08-01,38
2011-09-01,37
2011-10-01,54
2011-11-01,71
2011-12-01,34
2012-01-01,32
2012-02-01,100
2012-03-01,47
2012-04-01,33
2012-05-01,31
2012-06-01,32
2012-07-01,31
2012-08-01,41
2012-09-01,92
2012-10-01,28
2012-11-01,28
2012-12-01,28
2013-01-01,39
2013-02-01,84
2013-03-01,25
2013-04-01,38
2013-05-01,37
2013-06-01,26
2013-07-01,25
2013-08-01,33
2013-09-01,23
2013-10-01,23
2013-11-01,39
2013-12-01,24
2014-01-01,22
2014-02-01,48
2014-03-01,54
2014-04-01,22
2014-05-01,37
2014-06-01,51
2014-07-01,61
2014-08-01,25
2014-09-01,24
2014-10-01,27
2014-11-01,31
2014-12-01,22
2015-01-01,42
2015-02-01,23
2015-03-01,33
2015-04-01,42
2015-05-01,27
2015-06-01,21
2015-07-01,21
2015-08-01,41
2015-09-01,30
2015-10-01,19
2015-11-01,39
2015-12-01,30
2016-01-01,28
2016-02-01,56
2016-03-01,18
2016-04-01,24
2016-05-01,44
2016-06-01,48
2016-07-01,27
2016-08-01,18
2016-09-01,18
2016-10-01,34
2016-11-01,43
2016-12-01,59
2017-01-01,43
