date,what happens when you deactivate facebook
2011-01-01,69
2011-02-01,69
2011-03-01,55
2011-04-01,57
2011-05-01,66
2011-06-01,73
2011-07-01,100
2011-08-01,74
2011-09-01,62
2011-10-01,57
2011-11-01,54
2011-12-01,65
2012-01-01,56
2012-02-01,53
2012-03-01,49
2012-04-01,50
2012-05-01,47
2012-06-01,50
2012-07-01,51
2012-08-01,54
2012-09-01,49
2012-10-01,42
2012-11-01,41
2012-12-01,45
2013-01-01,44
2013-02-01,40
2013-03-01,36
2013-04-01,46
2013-05-01,38
2013-06-01,46
2013-07-01,39
2013-08-01,41
2013-09-01,39
2013-10-01,38
2013-11-01,36
2013-12-01,34
2014-01-01,33
2014-02-01,47
2014-03-01,38
2014-04-01,45
2014-05-01,50
2014-06-01,43
2014-07-01,48
2014-08-01,70
2014-09-01,53
2014-10-01,40
2014-11-01,37
2014-12-01,46
2015-01-01,52
2015-02-01,38
2015-03-01,37
2015-04-01,40
2015-05-01,35
2015-06-01,34
2015-07-01,37
2015-08-01,34
2015-09-01,37
2015-10-01,36
2015-11-01,39
2015-12-01,39
2016-01-01,43
2016-02-01,40
2016-03-01,33
2016-04-01,44
2016-05-01,44
2016-06-01,44
2016-07-01,47
2016-08-01,55
2016-09-01,47
2016-10-01,36
2016-11-01,60
2016-12-01,50
2017-01-01,46
