date,search anonymously
2011-01-01,32
2011-02-01,35
2011-03-01,38
2011-04-01,38
2011-05-01,43
2011-06-01,42
2011-07-01,44
2011-08-01,37
2011-09-01,56
2011-10-01,30
2011-11-01,30
2011-12-01,63
2012-01-01,64
2012-02-01,88
2012-03-01,66
2012-04-01,52
2012-05-01,24
2012-06-01,67
2012-07-01,74
2012-08-01,34
2012-09-01,48
2012-10-01,57
2012-11-01,54
2012-12-01,60
2013-01-01,53
2013-02-01,68
2013-03-01,50
2013-04-01,76
2013-05-01,42
2013-06-01,55
2013-07-01,73
2013-08-01,77
2013-09-01,78
2013-10-01,91
2013-11-01,88
2013-12-01,67
2014-01-01,83
2014-02-01,74
2014-03-01,74
2014-04-01,80
2014-05-01,64
2014-06-01,54
2014-07-01,72
2014-08-01,88
2014-09-01,79
2014-10-01,85
2014-11-01,87
2014-12-01,88
2015-01-01,96
2015-02-01,100
2015-03-01,75
2015-04-01,64
2015-05-01,81
2015-06-01,86
2015-07-01,62
2015-08-01,93
2015-09-01,86
2015-10-01,85
2015-11-01,68
2015-12-01,74
2016-01-01,92
2016-02-01,63
2016-03-01,81
2016-04-01,85
2016-05-01,71
2016-06-01,81
2016-07-01,59
2016-08-01,62
2016-09-01,73
2016-10-01,80
2016-11-01,73
2016-12-01,64
2017-01-01,81
