date,epic browser review
2011-01-01,82
2011-02-01,29
2011-03-01,52
2011-04-01,28
2011-05-01,65
2011-06-01,27
2011-07-01,27
2011-08-01,50
2011-09-01,73
2011-10-01,34
2011-11-01,34
2011-12-01,34
2012-01-01,42
2012-02-01,22
2012-03-01,31
2012-04-01,21
2012-05-01,30
2012-06-01,21
2012-07-01,21
2012-08-01,20
2012-09-01,20
2012-10-01,19
2012-11-01,19
2012-12-01,19
2013-01-01,17
2013-02-01,17
2013-03-01,17
2013-04-01,17
2013-05-01,16
2013-06-01,24
2013-07-01,32
2013-08-01,40
2013-09-01,48
2013-10-01,84
2013-11-01,54
2013-12-01,78
2014-01-01,36
2014-02-01,47
2014-03-01,50
2014-04-01,96
2014-05-01,67
2014-06-01,41
2014-07-01,72
2014-08-01,64
2014-09-01,31
2014-10-01,22
2014-11-01,23
2014-12-01,44
2015-01-01,55
2015-02-01,45
2015-03-01,41
2015-04-01,56
2015-05-01,34
2015-06-01,21
2015-07-01,55
2015-08-01,74
2015-09-01,67
2015-10-01,38
2015-11-01,64
2015-12-01,46
2016-01-01,49
2016-02-01,61
2016-03-01,86
2016-04-01,89
2016-05-01,35
2016-06-01,66
2016-07-01,42
2016-08-01,59
2016-09-01,65
2016-10-01,100
2016-11-01,89
2016-12-01,62
2017-01-01,79
