date,best private browser android
2011-01-01,0
2011-02-01,38
2011-03-01,26
2011-04-01,28
2011-05-01,39
2011-06-01,27
2011-07-01,39
2011-08-01,50
2011-09-01,36
2011-10-01,23
2011-11-01,31
2011-12-01,60
2012-01-01,31
2012-02-01,36
2012-03-01,51
2012-04-01,32
2012-05-01,40
2012-06-01,34
2012-07-01,34
2012-08-01,27
2012-09-01,50
2012-10-01,43
2012-11-01,62
2012-12-01,74
2013-01-01,67
2013-02-01,31
2013-03-01,44
2013-04-01,39
2013-05-01,38
2013-06-01,39
2013-07-01,49
2013-08-01,76
2013-09-01,37
2013-10-01,50
2013-11-01,41
2013-12-01,36
2014-01-01,58
2014-02-01,70
2014-03-01,38
2014-04-01,63
2014-05-01,67
2014-06-01,77
2014-07-01,64
2014-08-01,53
2014-09-01,97
2014-10-01,87
2014-11-01,99
2014-12-01,64
2015-01-01,50
2015-02-01,20
2015-03-01,41
2015-04-01,69
2015-05-01,45
2015-06-01,76
2015-07-01,55
2015-08-01,58
2015-09-01,62
2015-10-01,67
2015-11-01,64
2015-12-01,100
2016-01-01,61
2016-02-01,77
2016-03-01,65
2016-04-01,59
2016-05-01,46
2016-06-01,55
2016-07-01,76
2016-08-01,70
2016-09-01,58
2016-10-01,40
2016-11-01,70
2016-12-01,93
2017-01-01,80
