date,secure video calls
2011-01-01,0
2011-02-01,39
2011-03-01,35
2011-04-01,57
2011-05-01,70
2011-06-01,36
2011-07-01,60
2011-08-01,56
2011-09-01,66
2011-10-01,63
2011-11-01,62
2011-12-01,31
2012-01-01,43
2012-02-01,88
2012-03-01,65
2012-04-01,78
2012-05-01,54
2012-06-01,70
2012-07-01,56
2012-08-01,73
2012-09-01,45
2012-10-01,37
2012-11-01,75
2012-12-01,42
2013-01-01,76
2013-02-01,33
2013-03-01,37
2013-04-01,83
2013-05-01,44
2013-06-01,99
2013-07-01,100
2013-08-01,51
2013-09-01,65
2013-10-01,62
2013-11-01,42
2013-12-01,49
2014-01-01,33
2014-02-01,64
2014-03-01,25
2014-04-01,40
2014-05-01,80
2014-06-01,37
2014-07-01,22
2014-08-01,58
2014-09-01,63
2014-10-01,49
2014-11-01,41
2014-12-01,47
2015-01-01,56
2015-02-01,54
2015-03-01,55
2015-04-01,88
2015-05-01,49
2015-06-01,56
2015-07-01,61
2015-08-01,46
2015-09-01,36
2015-10-01,60
2015-11-01,98
2015-12-01,36
2016-01-01,83
2016-02-01,72
2016-03-01,31
2016-04-01,37
2016-05-01,41
2016-06-01,38
2016-07-01,60
2016-08-01,48
2016-09-01,42
2016-10-01,45
2016-11-01,81
2016-12-01,75
2017-01-01,67
