date,skype privacy policy
2011-01-01,35
2011-02-01,37
2011-03-01,33
2011-04-01,36
2011-05-01,100
2011-06-01,34
2011-07-01,57
2011-08-01,65
2011-09-01,73
2011-10-01,30
2011-11-01,50
2011-12-01,44
2012-01-01,81
2012-02-01,75
2012-03-01,53
2012-04-01,28
2012-05-01,77
2012-06-01,53
2012-07-01,70
2012-08-01,91
2012-09-01,51
2012-10-01,24
2012-11-01,36
2012-12-01,22
2013-01-01,22
2013-02-01,47
2013-03-01,63
2013-04-01,65
2013-05-01,42
2013-06-01,29
2013-07-01,95
2013-08-01,42
2013-09-01,52
2013-10-01,19
2013-11-01,33
2013-12-01,40
2014-01-01,31
2014-02-01,43
2014-03-01,54
2014-04-01,31
2014-05-01,38
2014-06-01,78
2014-07-01,41
2014-08-01,28
2014-09-01,33
2014-10-01,47
2014-11-01,39
2014-12-01,48
2015-01-01,65
2015-02-01,77
2015-03-01,44
2015-04-01,18
2015-05-01,46
2015-06-01,47
2015-07-01,70
2015-08-01,46
2015-09-01,51
2015-10-01,24
2015-11-01,27
2015-12-01,28
2016-01-01,37
2016-02-01,53
2016-03-01,20
2016-04-01,36
2016-05-01,30
2016-06-01,15
2016-07-01,31
2016-08-01,35
2016-09-01,30
2016-10-01,57
2016-11-01,34
2016-12-01,33
2017-01-01,34
