date,instagram safety,instagram privacy policy
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,2
2011-07-01,2,2
2011-08-01,2,0
2011-09-01,2,0
2011-10-01,3,2
2011-11-01,2,2
2011-12-01,2,2
2012-01-01,5,0
2012-02-01,3,2
2012-03-01,4,1
2012-04-01,9,3
2012-05-01,10,1
2012-06-01,11,0
2012-07-01,19,2
2012-08-01,15,1
2012-09-01,17,4
2012-10-01,18,3
2012-11-01,21,3
2012-12-01,24,100
2013-01-01,27,30
2013-02-01,30,13
2013-03-01,34,13
2013-04-01,25,8
2013-05-01,27,8
2013-06-01,29,4
2013-07-01,29,6
2013-08-01,33,6
2013-09-01,31,10
2013-10-01,38,11
2013-11-01,43,6
2013-12-01,27,24
2014-01-01,46,13
2014-02-01,50,4
2014-03-01,41,65
2014-04-01,46,10
2014-05-01,46,7
2014-06-01,47,10
2014-07-01,40,8
2014-08-01,46,7
2014-09-01,52,8
2014-10-01,55,6
2014-11-01,55,8
2014-12-01,54,11
2015-01-01,58,12
2015-02-01,62,7
2015-03-01,61,10
2015-04-01,57,6
2015-05-01,52,6
2015-06-01,54,4
2015-07-01,54,6
2015-08-01,49,6
2015-09-01,64,9
2015-10-01,63,8
2015-11-01,59,11
2015-12-01,53,10
2016-01-01,52,8
2016-02-01,69,15
2016-03-01,66,11
2016-04-01,61,9
2016-05-01,54,8
2016-06-01,65,18
2016-07-01,57,15
2016-08-01,62,13
2016-09-01,68,15
2016-10-01,70,9
2016-11-01,70,14
2016-12-01,53,11
2017-01-01,66,15
