date,how to delete chat history in gmail
2011-01-01,18
2011-02-01,29
2011-03-01,34
2011-04-01,25
2011-05-01,17
2011-06-01,42
2011-07-01,41
2011-08-01,61
2011-09-01,32
2011-10-01,38
2011-11-01,52
2011-12-01,20
2012-01-01,42
2012-02-01,44
2012-03-01,51
2012-04-01,53
2012-05-01,31
2012-06-01,55
2012-07-01,18
2012-08-01,77
2012-09-01,49
2012-10-01,20
2012-11-01,33
2012-12-01,45
2013-01-01,37
2013-02-01,100
2013-03-01,29
2013-04-01,67
2013-05-01,58
2013-06-01,71
2013-07-01,89
2013-08-01,69
2013-09-01,47
2013-10-01,41
2013-11-01,59
2013-12-01,56
2014-01-01,26
2014-02-01,81
2014-03-01,66
2014-04-01,36
2014-05-01,37
2014-06-01,59
2014-07-01,54
2014-08-01,50
2014-09-01,34
2014-10-01,39
2014-11-01,30
2014-12-01,49
2015-01-01,24
2015-02-01,40
2015-03-01,48
2015-04-01,40
2015-05-01,42
2015-06-01,19
2015-07-01,21
2015-08-01,14
2015-09-01,18
2015-10-01,34
2015-11-01,23
2015-12-01,15
2016-01-01,25
2016-02-01,19
2016-03-01,25
2016-04-01,16
2016-05-01,8
2016-06-01,11
2016-07-01,24
2016-08-01,8
2016-09-01,21
2016-10-01,7
2016-11-01,15
2016-12-01,25
2017-01-01,21
