date,google child account
2011-01-01,9
2011-02-01,6
2011-03-01,14
2011-04-01,9
2011-05-01,10
2011-06-01,15
2011-07-01,15
2011-08-01,14
2011-09-01,21
2011-10-01,18
2011-11-01,19
2011-12-01,25
2012-01-01,24
2012-02-01,19
2012-03-01,19
2012-04-01,19
2012-05-01,17
2012-06-01,17
2012-07-01,19
2012-08-01,16
2012-09-01,22
2012-10-01,21
2012-11-01,26
2012-12-01,45
2013-01-01,25
2013-02-01,18
2013-03-01,21
2013-04-01,21
2013-05-01,20
2013-06-01,21
2013-07-01,32
2013-08-01,28
2013-09-01,27
2013-10-01,26
2013-11-01,27
2013-12-01,75
2014-01-01,39
2014-02-01,39
2014-03-01,31
2014-04-01,30
2014-05-01,31
2014-06-01,36
2014-07-01,38
2014-08-01,48
2014-09-01,34
2014-10-01,35
2014-11-01,38
2014-12-01,69
2015-01-01,52
2015-02-01,44
2015-03-01,41
2015-04-01,37
2015-05-01,34
2015-06-01,36
2015-07-01,38
2015-08-01,46
2015-09-01,45
2015-10-01,33
2015-11-01,42
2015-12-01,73
2016-01-01,63
2016-02-01,43
2016-03-01,49
2016-04-01,44
2016-05-01,43
2016-06-01,41
2016-07-01,66
2016-08-01,58
2016-09-01,60
2016-10-01,50
2016-11-01,58
2016-12-01,100
2017-01-01,75
