date,google hangouts privacy
2011-01-01,34
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,29
2011-11-01,29
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,26
2012-07-01,26
2012-08-01,38
2012-09-01,0
2012-10-01,46
2012-11-01,23
2012-12-01,23
2013-01-01,21
2013-02-01,23
2013-03-01,20
2013-04-01,31
2013-05-01,61
2013-06-01,49
2013-07-01,34
2013-08-01,41
2013-09-01,30
2013-10-01,25
2013-11-01,64
2013-12-01,52
2014-01-01,84
2014-02-01,59
2014-03-01,100
2014-04-01,61
2014-05-01,56
2014-06-01,48
2014-07-01,33
2014-08-01,67
2014-09-01,45
2014-10-01,49
2014-11-01,31
2014-12-01,46
2015-01-01,75
2015-02-01,56
2015-03-01,45
2015-04-01,46
2015-05-01,62
2015-06-01,75
2015-07-01,62
2015-08-01,56
2015-09-01,55
2015-10-01,57
2015-11-01,54
2015-12-01,43
2016-01-01,51
2016-02-01,76
2016-03-01,52
2016-04-01,50
2016-05-01,24
2016-06-01,60
2016-07-01,50
2016-08-01,34
2016-09-01,39
2016-10-01,69
2016-11-01,42
2016-12-01,51
2017-01-01,48
