date,gchat off the record
2011-01-01,76
2011-02-01,88
2011-03-01,69
2011-04-01,21
2011-05-01,50
2011-06-01,41
2011-07-01,94
2011-08-01,51
2011-09-01,49
2011-10-01,65
2011-11-01,82
2011-12-01,35
2012-01-01,40
2012-02-01,39
2012-03-01,31
2012-04-01,33
2012-05-01,46
2012-06-01,79
2012-07-01,52
2012-08-01,57
2012-09-01,36
2012-10-01,51
2012-11-01,33
2012-12-01,56
2013-01-01,73
2013-02-01,61
2013-03-01,31
2013-04-01,60
2013-05-01,70
2013-06-01,32
2013-07-01,100
2013-08-01,37
2013-09-01,16
2013-10-01,42
2013-11-01,27
2013-12-01,36
2014-01-01,40
2014-02-01,60
2014-03-01,36
2014-04-01,45
2014-05-01,26
2014-06-01,33
2014-07-01,28
2014-08-01,31
2014-09-01,31
2014-10-01,48
2014-11-01,31
2014-12-01,34
2015-01-01,39
2015-02-01,30
2015-03-01,31
2015-04-01,48
2015-05-01,10
2015-06-01,32
2015-07-01,21
2015-08-01,24
2015-09-01,35
2015-10-01,29
2015-11-01,33
2015-12-01,10
2016-01-01,28
2016-02-01,33
2016-03-01,17
2016-04-01,18
2016-05-01,13
2016-06-01,18
2016-07-01,31
2016-08-01,13
2016-09-01,13
2016-10-01,14
2016-11-01,14
2016-12-01,8
2017-01-01,24
