Date,anonymous web proxy,internet proxy
2011-01-01,5.0,100.0
2011-02-01,4.0,78.0
2011-03-01,5.0,72.0
2011-04-01,3.0,63.0
2011-05-01,8.0,78.0
2011-06-01,5.0,69.0
2011-07-01,6.0,88.0
2011-08-01,7.0,65.0
2011-09-01,2.0,80.0
2011-10-01,4.0,65.0
2011-11-01,4.0,70.0
2011-12-01,4.0,65.0
2012-01-01,4.0,52.0
2012-02-01,3.0,58.0
2012-03-01,5.0,60.0
2012-04-01,3.0,55.0
2012-05-01,4.0,54.0
2012-06-01,4.0,46.0
2012-07-01,4.0,69.0
2012-08-01,2.0,53.0
2012-09-01,3.0,55.0
2012-10-01,4.0,56.0
2012-11-01,3.0,51.0
2012-12-01,3.0,43.0
2013-01-01,6.0,52.0
2013-02-01,4.0,50.0
2013-03-01,3.0,48.0
2013-04-01,2.0,58.0
2013-05-01,3.0,50.0
2013-06-01,1.0,53.0
2013-07-01,2.0,56.0
2013-08-01,1.0,48.0
2013-09-01,2.0,60.0
2013-10-01,2.0,58.0
2013-11-01,3.0,54.0
2013-12-01,2.0,67.0
2014-01-01,1.0,69.0
2014-02-01,2.0,57.0
2014-03-01,2.0,65.0
2014-04-01,3.0,61.0
2014-05-01,2.0,72.0
2014-06-01,2.0,71.0
2014-07-01,2.0,75.0
2014-08-01,2.0,73.0
2014-09-01,2.0,86.0
2014-10-01,0.0,82.0
2014-11-01,6.0,83.0
2014-12-01,4.0,85.0
2015-01-01,1.0,76.0
2015-02-01,2.0,83.0
2015-03-01,1.0,72.0
2015-04-01,1.0,57.0
2015-05-01,1.0,59.0
2015-06-01,2.0,62.0
2015-07-01,1.0,53.0
2015-08-01,3.0,53.0
2015-09-01,2.0,61.0
2015-10-01,3.0,48.0
2015-11-01,2.0,51.0
2015-12-01,1.0,55.0
2016-01-01,1.0,57.0
2016-02-01,1.0,48.0
2016-03-01,2.0,51.0
2016-04-01,2.0,49.0
2016-05-01,4.0,43.0
2016-06-01,1.0,44.0
