Date,anonymous web proxy,web proxy free
2011-01-01,20.0,76.0
2011-02-01,16.0,71.0
2011-03-01,16.0,87.0
2011-04-01,10.0,79.0
2011-05-01,29.0,76.0
2011-06-01,17.0,76.0
2011-07-01,22.0,58.0
2011-08-01,25.0,68.0
2011-09-01,9.0,51.0
2011-10-01,15.0,93.0
2011-11-01,13.0,79.0
2011-12-01,14.0,67.0
2012-01-01,13.0,74.0
2012-02-01,12.0,88.0
2012-03-01,19.0,58.0
2012-04-01,10.0,70.0
2012-05-01,13.0,83.0
2012-06-01,14.0,45.0
2012-07-01,15.0,66.0
2012-08-01,7.0,73.0
2012-09-01,9.0,67.0
2012-10-01,15.0,65.0
2012-11-01,10.0,51.0
2012-12-01,12.0,64.0
2013-01-01,20.0,58.0
2013-02-01,15.0,100.0
2013-03-01,9.0,48.0
2013-04-01,6.0,54.0
2013-05-01,11.0,45.0
2013-06-01,5.0,58.0
2013-07-01,6.0,43.0
2013-08-01,3.0,36.0
2013-09-01,6.0,48.0
2013-10-01,9.0,51.0
2013-11-01,9.0,53.0
2013-12-01,8.0,55.0
2014-01-01,4.0,52.0
2014-02-01,6.0,68.0
2014-03-01,7.0,57.0
2014-04-01,12.0,47.0
2014-05-01,6.0,57.0
2014-06-01,7.0,57.0
2014-07-01,9.0,57.0
2014-08-01,9.0,60.0
2014-09-01,7.0,56.0
2014-10-01,2.0,64.0
2014-11-01,22.0,55.0
2014-12-01,13.0,80.0
2015-01-01,5.0,66.0
2015-02-01,7.0,75.0
2015-03-01,3.0,57.0
2015-04-01,3.0,56.0
2015-05-01,5.0,63.0
2015-06-01,9.0,43.0
2015-07-01,3.0,34.0
2015-08-01,10.0,35.0
2015-09-01,8.0,60.0
2015-10-01,12.0,68.0
2015-11-01,6.0,56.0
2015-12-01,5.0,50.0
2016-01-01,3.0,48.0
2016-02-01,3.0,41.0
2016-03-01,7.0,52.0
2016-04-01,9.0,74.0
2016-05-01,15.0,66.0
2016-06-01,5.0,31.0
