date,what does private browsing do on iphone,search without history
2011-01-01,0,53
2011-02-01,0,37
2011-03-01,0,27
2011-04-01,0,35
2011-05-01,0,29
2011-06-01,0,44
2011-07-01,0,48
2011-08-01,6,30
2011-09-01,5,51
2011-10-01,5,33
2011-11-01,9,49
2011-12-01,5,29
2012-01-01,13,38
2012-02-01,13,52
2012-03-01,12,42
2012-04-01,10,56
2012-05-01,10,43
2012-06-01,11,53
2012-07-01,20,52
2012-08-01,5,53
2012-09-01,8,48
2012-10-01,17,55
2012-11-01,6,41
2012-12-01,25,46
2013-01-01,38,60
2013-02-01,8,55
2013-03-01,26,59
2013-04-01,43,47
2013-05-01,17,43
2013-06-01,11,67
2013-07-01,14,52
2013-08-01,11,69
2013-09-01,25,70
2013-10-01,26,59
2013-11-01,12,66
2013-12-01,35,51
2014-01-01,14,62
2014-02-01,13,66
2014-03-01,10,64
2014-04-01,7,67
2014-05-01,14,57
2014-06-01,25,61
2014-07-01,12,65
2014-08-01,25,53
2014-09-01,12,72
2014-10-01,10,95
2014-11-01,12,60
2014-12-01,8,78
2015-01-01,8,87
2015-02-01,8,55
2015-03-01,6,74
2015-04-01,6,80
2015-05-01,5,77
2015-06-01,5,72
2015-07-01,4,72
2015-08-01,5,75
2015-09-01,9,76
2015-10-01,4,74
2015-11-01,9,72
2015-12-01,6,77
2016-01-01,6,75
2016-02-01,5,100
2016-03-01,3,84
2016-04-01,7,85
2016-05-01,5,70
2016-06-01,3,83
2016-07-01,4,75
2016-08-01,3,95
2016-09-01,3,84
2016-10-01,3,73
2016-11-01,6,76
2016-12-01,4,73
2017-01-01,4,96
