date,new incognito tab,search without history
2011-01-01,12,50
2011-02-01,8,34
2011-03-01,13,26
2011-04-01,16,33
2011-05-01,11,28
2011-06-01,21,42
2011-07-01,8,45
2011-08-01,9,28
2011-09-01,10,48
2011-10-01,12,31
2011-11-01,20,46
2011-12-01,10,27
2012-01-01,12,36
2012-02-01,8,49
2012-03-01,9,39
2012-04-01,15,53
2012-05-01,13,41
2012-06-01,13,50
2012-07-01,23,49
2012-08-01,23,50
2012-09-01,27,45
2012-10-01,17,52
2012-11-01,30,39
2012-12-01,16,43
2013-01-01,24,57
2013-02-01,22,51
2013-03-01,22,56
2013-04-01,20,44
2013-05-01,30,40
2013-06-01,33,63
2013-07-01,40,49
2013-08-01,39,65
2013-09-01,41,66
2013-10-01,30,56
2013-11-01,39,62
2013-12-01,34,48
2014-01-01,41,58
2014-02-01,36,62
2014-03-01,41,60
2014-04-01,32,63
2014-05-01,46,53
2014-06-01,27,57
2014-07-01,47,61
2014-08-01,42,50
2014-09-01,38,67
2014-10-01,37,89
2014-11-01,35,56
2014-12-01,51,74
2015-01-01,65,82
2015-02-01,35,51
2015-03-01,40,69
2015-04-01,52,75
2015-05-01,74,72
2015-06-01,59,67
2015-07-01,46,68
2015-08-01,61,70
2015-09-01,78,72
2015-10-01,70,69
2015-11-01,67,68
2015-12-01,67,73
2016-01-01,84,71
2016-02-01,82,94
2016-03-01,83,79
2016-04-01,97,80
2016-05-01,71,66
2016-06-01,61,78
2016-07-01,71,70
2016-08-01,65,89
2016-09-01,96,79
2016-10-01,100,69
2016-11-01,87,72
2016-12-01,97,68
2017-01-01,92,90
