date,anonymous browsing firefox,search without history
2011-01-01,45,53
2011-02-01,39,37
2011-03-01,51,27
2011-04-01,27,35
2011-05-01,51,29
2011-06-01,52,44
2011-07-01,34,48
2011-08-01,39,30
2011-09-01,53,51
2011-10-01,35,33
2011-11-01,26,49
2011-12-01,19,29
2012-01-01,22,38
2012-02-01,60,52
2012-03-01,26,42
2012-04-01,34,56
2012-05-01,40,43
2012-06-01,25,53
2012-07-01,31,52
2012-08-01,47,53
2012-09-01,27,48
2012-10-01,23,55
2012-11-01,32,41
2012-12-01,35,46
2013-01-01,30,60
2013-02-01,14,55
2013-03-01,20,59
2013-04-01,28,47
2013-05-01,23,43
2013-06-01,26,67
2013-07-01,30,52
2013-08-01,26,69
2013-09-01,27,70
2013-10-01,25,59
2013-11-01,36,66
2013-12-01,31,51
2014-01-01,26,62
2014-02-01,20,66
2014-03-01,21,64
2014-04-01,19,67
2014-05-01,19,57
2014-06-01,21,61
2014-07-01,23,65
2014-08-01,17,53
2014-09-01,16,72
2014-10-01,15,95
2014-11-01,12,60
2014-12-01,15,78
2015-01-01,22,87
2015-02-01,22,55
2015-03-01,15,74
2015-04-01,16,80
2015-05-01,8,77
2015-06-01,19,72
2015-07-01,10,72
2015-08-01,12,75
2015-09-01,14,76
2015-10-01,14,74
2015-11-01,16,72
2015-12-01,10,77
2016-01-01,10,75
2016-02-01,11,100
2016-03-01,9,84
2016-04-01,10,85
2016-05-01,3,70
2016-06-01,10,83
2016-07-01,7,75
2016-08-01,12,95
2016-09-01,8,84
2016-10-01,7,73
2016-11-01,11,76
2016-12-01,9,73
2017-01-01,4,96
