date,private browsing iphone history,search without history
2011-01-01,9,53
2011-02-01,13,36
2011-03-01,15,27
2011-04-01,15,35
2011-05-01,6,29
2011-06-01,6,44
2011-07-01,12,47
2011-08-01,11,30
2011-09-01,9,51
2011-10-01,26,33
2011-11-01,16,48
2011-12-01,29,29
2012-01-01,20,38
2012-02-01,29,52
2012-03-01,21,42
2012-04-01,29,56
2012-05-01,25,43
2012-06-01,26,53
2012-07-01,24,52
2012-08-01,27,53
2012-09-01,26,48
2012-10-01,23,55
2012-11-01,51,41
2012-12-01,29,45
2013-01-01,42,60
2013-02-01,40,54
2013-03-01,31,59
2013-04-01,24,46
2013-05-01,34,43
2013-06-01,26,66
2013-07-01,37,52
2013-08-01,27,69
2013-09-01,43,69
2013-10-01,65,59
2013-11-01,45,66
2013-12-01,51,51
2014-01-01,47,61
2014-02-01,46,66
2014-03-01,47,63
2014-04-01,55,67
2014-05-01,59,56
2014-06-01,50,60
2014-07-01,100,64
2014-08-01,71,53
2014-09-01,68,71
2014-10-01,42,94
2014-11-01,41,59
2014-12-01,49,78
2015-01-01,55,87
2015-02-01,46,54
2015-03-01,63,73
2015-04-01,43,79
2015-05-01,45,76
2015-06-01,64,71
2015-07-01,52,71
2015-08-01,77,74
2015-09-01,71,75
2015-10-01,72,73
2015-11-01,59,71
2015-12-01,79,77
2016-01-01,82,74
2016-02-01,59,99
2016-03-01,71,84
2016-04-01,76,84
2016-05-01,59,70
2016-06-01,84,83
2016-07-01,84,74
2016-08-01,75,94
2016-09-01,74,83
2016-10-01,77,72
2016-11-01,71,76
2016-12-01,85,72
2017-01-01,79,95
