date,incognito mode firefox,search without history
2011-01-01,14,40
2011-02-01,29,27
2011-03-01,29,20
2011-04-01,29,26
2011-05-01,29,22
2011-06-01,21,33
2011-07-01,25,35
2011-08-01,21,22
2011-09-01,22,38
2011-10-01,21,24
2011-11-01,25,36
2011-12-01,34,22
2012-01-01,27,28
2012-02-01,41,39
2012-03-01,37,31
2012-04-01,24,42
2012-05-01,48,32
2012-06-01,45,39
2012-07-01,35,39
2012-08-01,64,39
2012-09-01,79,36
2012-10-01,79,41
2012-11-01,93,31
2012-12-01,81,34
2013-01-01,98,45
2013-02-01,78,40
2013-03-01,65,44
2013-04-01,100,35
2013-05-01,93,32
2013-06-01,78,49
2013-07-01,88,38
2013-08-01,91,51
2013-09-01,79,52
2013-10-01,95,44
2013-11-01,88,49
2013-12-01,64,38
2014-01-01,64,46
2014-02-01,75,49
2014-03-01,90,47
2014-04-01,85,50
2014-05-01,68,42
2014-06-01,62,45
2014-07-01,74,48
2014-08-01,78,39
2014-09-01,56,53
2014-10-01,56,70
2014-11-01,61,44
2014-12-01,50,58
2015-01-01,52,65
2015-02-01,43,40
2015-03-01,58,55
2015-04-01,61,59
2015-05-01,57,57
2015-06-01,42,53
2015-07-01,61,53
2015-08-01,58,55
2015-09-01,48,56
2015-10-01,48,55
2015-11-01,47,53
2015-12-01,49,57
2016-01-01,36,56
2016-02-01,38,74
2016-03-01,41,63
2016-04-01,42,63
2016-05-01,45,52
2016-06-01,34,62
2016-07-01,31,55
2016-08-01,41,70
2016-09-01,37,62
2016-10-01,39,54
2016-11-01,40,56
2016-12-01,36,54
2017-01-01,46,71
