date,anonymous browser,search without history
2011-01-01,54,12
2011-02-01,62,8
2011-03-01,48,6
2011-04-01,56,8
2011-05-01,42,7
2011-06-01,50,10
2011-07-01,41,11
2011-08-01,57,7
2011-09-01,53,12
2011-10-01,58,8
2011-11-01,60,11
2011-12-01,55,7
2012-01-01,72,9
2012-02-01,70,12
2012-03-01,64,10
2012-04-01,59,13
2012-05-01,51,10
2012-06-01,58,12
2012-07-01,54,12
2012-08-01,65,12
2012-09-01,64,11
2012-10-01,61,13
2012-11-01,59,10
2012-12-01,59,11
2013-01-01,53,14
2013-02-01,65,13
2013-03-01,63,14
2013-04-01,69,11
2013-05-01,59,10
2013-06-01,75,15
2013-07-01,68,12
2013-08-01,69,16
2013-09-01,67,16
2013-10-01,74,14
2013-11-01,68,15
2013-12-01,65,12
2014-01-01,70,14
2014-02-01,62,15
2014-03-01,60,15
2014-04-01,62,16
2014-05-01,65,13
2014-06-01,68,14
2014-07-01,75,15
2014-08-01,80,12
2014-09-01,78,17
2014-10-01,82,22
2014-11-01,78,14
2014-12-01,88,18
2015-01-01,70,20
2015-02-01,67,13
2015-03-01,74,17
2015-04-01,73,19
2015-05-01,71,18
2015-06-01,70,17
2015-07-01,72,17
2015-08-01,75,17
2015-09-01,78,18
2015-10-01,79,17
2015-11-01,100,17
2015-12-01,77,18
2016-01-01,76,17
2016-02-01,76,23
2016-03-01,71,20
2016-04-01,70,20
2016-05-01,66,16
2016-06-01,64,19
2016-07-01,78,17
2016-08-01,71,22
2016-09-01,72,19
2016-10-01,62,17
2016-11-01,59,18
2016-12-01,58,17
2017-01-01,62,22
