date,incognito google,search without history
2011-01-01,30,2
2011-02-01,30,2
2011-03-01,28,1
2011-04-01,27,1
2011-05-01,31,1
2011-06-01,36,2
2011-07-01,38,2
2011-08-01,39,1
2011-09-01,32,2
2011-10-01,38,1
2011-11-01,38,2
2011-12-01,39,1
2012-01-01,41,1
2012-02-01,44,2
2012-03-01,47,2
2012-04-01,49,2
2012-05-01,51,2
2012-06-01,51,2
2012-07-01,59,2
2012-08-01,60,2
2012-09-01,54,2
2012-10-01,54,2
2012-11-01,51,1
2012-12-01,53,2
2013-01-01,57,2
2013-02-01,54,2
2013-03-01,53,2
2013-04-01,73,2
2013-05-01,62,2
2013-06-01,65,3
2013-07-01,67,2
2013-08-01,69,2
2013-09-01,69,3
2013-10-01,67,2
2013-11-01,100,3
2013-12-01,68,2
2014-01-01,76,2
2014-02-01,85,2
2014-03-01,67,3
2014-04-01,68,2
2014-05-01,66,2
2014-06-01,64,2
2014-07-01,71,3
2014-08-01,67,2
2014-09-01,70,3
2014-10-01,72,3
2014-11-01,68,2
2014-12-01,67,3
2015-01-01,79,3
2015-02-01,68,2
2015-03-01,62,3
2015-04-01,66,3
2015-05-01,68,3
2015-06-01,66,3
2015-07-01,68,3
2015-08-01,74,3
2015-09-01,74,3
2015-10-01,72,3
2015-11-01,67,2
2015-12-01,77,3
2016-01-01,71,2
2016-02-01,66,4
2016-03-01,67,3
2016-04-01,71,3
2016-05-01,71,3
2016-06-01,70,3
2016-07-01,71,3
2016-08-01,71,3
2016-09-01,85,3
2016-10-01,82,3
2016-11-01,83,3
2016-12-01,88,3
2017-01-01,86,3
