date,incognito tab chrome,search without history
2011-01-01,15,26
2011-02-01,16,18
2011-03-01,15,13
2011-04-01,10,17
2011-05-01,12,14
2011-06-01,14,22
2011-07-01,15,23
2011-08-01,12,15
2011-09-01,11,25
2011-10-01,14,16
2011-11-01,24,24
2011-12-01,14,14
2012-01-01,11,19
2012-02-01,10,25
2012-03-01,12,21
2012-04-01,17,28
2012-05-01,22,21
2012-06-01,15,26
2012-07-01,36,26
2012-08-01,31,26
2012-09-01,39,24
2012-10-01,32,27
2012-11-01,32,20
2012-12-01,26,22
2013-01-01,31,29
2013-02-01,44,27
2013-03-01,42,29
2013-04-01,34,23
2013-05-01,39,21
2013-06-01,43,33
2013-07-01,45,25
2013-08-01,39,34
2013-09-01,42,34
2013-10-01,46,29
2013-11-01,43,32
2013-12-01,43,25
2014-01-01,66,30
2014-02-01,68,32
2014-03-01,57,31
2014-04-01,52,33
2014-05-01,47,28
2014-06-01,43,30
2014-07-01,58,32
2014-08-01,71,26
2014-09-01,71,35
2014-10-01,51,46
2014-11-01,57,29
2014-12-01,59,38
2015-01-01,63,43
2015-02-01,55,27
2015-03-01,46,36
2015-04-01,58,39
2015-05-01,59,38
2015-06-01,54,35
2015-07-01,63,35
2015-08-01,60,37
2015-09-01,60,37
2015-10-01,68,36
2015-11-01,58,35
2015-12-01,59,38
2016-01-01,53,37
2016-02-01,62,49
2016-03-01,65,41
2016-04-01,55,42
2016-05-01,58,34
2016-06-01,60,41
2016-07-01,57,37
2016-08-01,58,46
2016-09-01,75,41
2016-10-01,67,36
2016-11-01,80,37
2016-12-01,100,36
2017-01-01,93,47
