date,in private browsing chrome,search without history
2011-01-01,44,20
2011-02-01,24,12
2011-03-01,39,8
2011-04-01,38,10
2011-05-01,36,11
2011-06-01,33,14
2011-07-01,46,18
2011-08-01,50,9
2011-09-01,60,18
2011-10-01,49,10
2011-11-01,55,15
2011-12-01,60,6
2012-01-01,51,15
2012-02-01,49,21
2012-03-01,68,18
2012-04-01,70,23
2012-05-01,63,17
2012-06-01,100,20
2012-07-01,70,16
2012-08-01,91,19
2012-09-01,72,18
2012-10-01,82,20
2012-11-01,79,16
2012-12-01,67,16
2013-01-01,81,22
2013-02-01,67,19
2013-03-01,74,19
2013-04-01,68,18
2013-05-01,68,13
2013-06-01,65,22
2013-07-01,52,16
2013-08-01,54,28
2013-09-01,56,23
2013-10-01,75,21
2013-11-01,52,21
2013-12-01,57,18
2014-01-01,58,26
2014-02-01,46,24
2014-03-01,65,20
2014-04-01,45,21
2014-05-01,58,20
2014-06-01,60,24
2014-07-01,61,20
2014-08-01,42,17
2014-09-01,47,25
2014-10-01,54,33
2014-11-01,55,19
2014-12-01,50,28
2015-01-01,47,30
2015-02-01,45,18
2015-03-01,39,26
2015-04-01,37,26
2015-05-01,46,22
2015-06-01,39,24
2015-07-01,40,25
2015-08-01,39,24
2015-09-01,40,26
2015-10-01,44,25
2015-11-01,29,28
2015-12-01,33,28
2016-01-01,28,30
2016-02-01,37,34
2016-03-01,25,29
2016-04-01,30,29
2016-05-01,41,26
2016-06-01,39,33
2016-07-01,41,26
2016-08-01,38,37
2016-09-01,39,28
2016-10-01,27,26
2016-11-01,37,27
2016-12-01,25,26
2017-01-01,31,35
